"PersonId","TaskType","credits"
"PID0049","Specialised workflow",18.5
"PID0050","Write or debug code",22.3
"PID0050","Meeting workflow",46.9
"PID0050","Email workflow",171.9
"PID0050","Communication workflow",38.6
"PID0050","Document and comment",163.5
"PID0050","Analysis and research",91
"PID0050","General assistance",30.4
"PID0050","Specialised workflow",37.9
"PID0051","Write or debug code",58.8
"PID0051","Meeting workflow",248.4
"PID0051","Email workflow",315.8
"PID0051","Communication workflow",149.6
"PID0051","Document and comment",100.2
"PID0051","Analysis and research",140.1
"PID0051","General assistance",46.7
"PID0051","Specialised workflow",36.4
"PID0052","Write or debug code",0.7
"PID0052","Meeting workflow",2.2
"PID0052","Email workflow",5.2
"PID0052","Communication workflow",4.7
"PID0052","Document and comment",2.4
"PID0052","Analysis and research",1.6
"PID0052","General assistance",3.6
"PID0052","Specialised workflow",1.2
"PID0053","Write or debug code",12.6
"PID0053","Meeting workflow",60.7
"PID0053","Email workflow",52.7
"PID0053","Communication workflow",72.5
"PID0053","Document and comment",78.2
"PID0053","Analysis and research",59.8
"PID0053","General assistance",32.9
"PID0053","Specialised workflow",13.9
"PID0054","Write or debug code",328.3
"PID0054","Meeting workflow",955.6
"PID0054","Email workflow",1116.7
"PID0054","Communication workflow",764.8
"PID0054","Document and comment",1103.3
"PID0054","Analysis and research",915.2
"PID0054","General assistance",550.4
"PID0054","Specialised workflow",174.7
"PID0055","Write or debug code",17.8
"PID0055","Meeting workflow",70.5
"PID0055","Email workflow",78.6
"PID0055","Communication workflow",29.8
"PID0055","Document and comment",97.4
"PID0055","Analysis and research",120.2
"PID0055","General assistance",28.7
"PID0055","Specialised workflow",32.8
"PID0056","Write or debug code",2.5
"PID0056","Meeting workflow",14.1
"PID0056","Email workflow",15.4
"PID0056","Communication workflow",9.2
"PID0056","Document and comment",12.2
"PID0056","Analysis and research",5.3
"PID0056","General assistance",6.6
"PID0056","Specialised workflow",3.1
"PID0057","Write or debug code",22.1
"PID0057","Meeting workflow",77.7
"PID0057","Email workflow",213
"PID0057","Communication workflow",54.6
"PID0057","Document and comment",45.1
"PID0057","Analysis and research",79
"PID0057","General assistance",40.4
"PID0057","Specialised workflow",19.8
"PID0058","Write or debug code",0
"PID0058","Meeting workflow",0
"PID0058","Email workflow",0
"PID0058","Communication workflow",0
"PID0058","Document and comment",0
"PID0058","Analysis and research",0
"PID0058","General assistance",0
"PID0058","Specialised workflow",0
"PID0059","Write or debug code",126.3
"PID0059","Meeting workflow",32.9
"PID0059","Email workflow",41.7
"PID0059","Communication workflow",23.2
"PID0059","Document and comment",32.2
"PID0059","Analysis and research",51.5
"PID0059","General assistance",28.2
"PID0059","Specialised workflow",19
"PID0060","Write or debug code",1
"PID0060","Meeting workflow",4.5
"PID0060","Email workflow",6.2
"PID0060","Communication workflow",2.5
"PID0060","Document and comment",2
"PID0060","Analysis and research",3.3
"PID0060","General assistance",1.5
"PID0060","Specialised workflow",0.7
"PID0061","Write or debug code",0.7
"PID0061","Meeting workflow",1.8
"PID0061","Email workflow",2.5
"PID0061","Communication workflow",1.2
"PID0061","Document and comment",3.6
"PID0061","Analysis and research",3.4
"PID0061","General assistance",0.8
"PID0061","Specialised workflow",0.7
"PID0062","Write or debug code",3.2
"PID0062","Meeting workflow",21.9
"PID0062","Email workflow",32.1
"PID0062","Communication workflow",14.7
"PID0062","Document and comment",12.4
"PID0062","Analysis and research",16.7
"PID0062","General assistance",8.6
"PID0062","Specialised workflow",4.1
"PID0063","Write or debug code",0.8
"PID0063","Meeting workflow",2.3
"PID0063","Email workflow",5.3
"PID0063","Communication workflow",6
"PID0063","Document and comment",3.1
"PID0063","Analysis and research",2.5
"PID0063","General assistance",3.6
"PID0063","Specialised workflow",1.4
"PID0064","Write or debug code",0
"PID0064","Meeting workflow",0
"PID0064","Email workflow",0
"PID0064","Communication workflow",0
"PID0064","Document and comment",0
"PID0064","Analysis and research",0
"PID0064","General assistance",0
"PID0064","Specialised workflow",0
"PID0065","Write or debug code",4.6
"PID0065","Meeting workflow",31
"PID0065","Email workflow",45.5
"PID0065","Communication workflow",23.3
"PID0065","Document and comment",14.8
"PID0065","Analysis and research",19.4
"PID0065","General assistance",12.2
"PID0065","Specialised workflow",5.5
"PID0066","Write or debug code",1.5
"PID0066","Meeting workflow",4.2
"PID0066","Email workflow",6.6
"PID0066","Communication workflow",6.1
"PID0066","Document and comment",4.2
"PID0066","Analysis and research",3.5
"PID0066","General assistance",3.4
"PID0066","Specialised workflow",1.6
"PID0067","Write or debug code",6.3
"PID0067","Meeting workflow",17.2
"PID0067","Email workflow",21.6
"PID0067","Communication workflow",27.4
"PID0067","Document and comment",53.2
"PID0067","Analysis and research",27.2
"PID0067","General assistance",11.3
"PID0067","Specialised workflow",5.2
"PID0068","Write or debug code",0.5
"PID0068","Meeting workflow",1.5
"PID0068","Email workflow",2.8
"PID0068","Communication workflow",1.1
"PID0068","Document and comment",3.7
"PID0068","Analysis and research",2.1
"PID0068","General assistance",0.8
"PID0068","Specialised workflow",0.7
"PID0069","Write or debug code",3.5
"PID0069","Meeting workflow",10.3
"PID0069","Email workflow",25.9
"PID0069","Communication workflow",5.6
"PID0069","Document and comment",31.3
"PID0069","Analysis and research",25.7
"PID0069","General assistance",4.1
"PID0069","Specialised workflow",5.7
"PID0070","Write or debug code",0.1
"PID0070","Meeting workflow",0.2
"PID0070","Email workflow",0.4
"PID0070","Communication workflow",0.3
"PID0070","Document and comment",0.2
"PID0070","Analysis and research",0.1
"PID0070","General assistance",0.2
"PID0070","Specialised workflow",0.1
"PID0071","Write or debug code",3.7
"PID0071","Meeting workflow",1
"PID0071","Email workflow",1
"PID0071","Communication workflow",0.6
"PID0071","Document and comment",0.7
"PID0071","Analysis and research",1.2
"PID0071","General assistance",0.3
"PID0071","Specialised workflow",0.6
"PID0072","Write or debug code",0
"PID0072","Meeting workflow",0
"PID0072","Email workflow",0
"PID0072","Communication workflow",0
"PID0072","Document and comment",0
"PID0072","Analysis and research",0
"PID0072","General assistance",0
"PID0072","Specialised workflow",0
"PID0073","Write or debug code",8.9
"PID0073","Meeting workflow",23.8
"PID0073","Email workflow",30
"PID0073","Communication workflow",15
"PID0073","Document and comment",50.6
"PID0073","Analysis and research",65.8
"PID0073","General assistance",21.3
"PID0073","Specialised workflow",18.2
"PID0074","Write or debug code",25.6
"PID0074","Meeting workflow",111.8
"PID0074","Email workflow",173.4
"PID0074","Communication workflow",247.9
"PID0074","Document and comment",89.1
"PID0074","Analysis and research",91.6
"PID0074","General assistance",138.3
"PID0074","Specialised workflow",75
"PID0075","Write or debug code",1.1
"PID0075","Meeting workflow",6
"PID0075","Email workflow",5.8
"PID0075","Communication workflow",2.2
"PID0075","Document and comment",8
"PID0075","Analysis and research",8
"PID0075","General assistance",2.4
"PID0075","Specialised workflow",1.8
"PID0076","Write or debug code",28.4
"PID0076","Meeting workflow",79
"PID0076","Email workflow",137.6
"PID0076","Communication workflow",108.5
"PID0076","Document and comment",51.7
"PID0076","Analysis and research",48.9
"PID0076","General assistance",90.9
"PID0076","Specialised workflow",41.8
"PID0077","Write or debug code",189.3
"PID0077","Meeting workflow",50.8
"PID0077","Email workflow",30.1
"PID0077","Communication workflow",48.7
"PID0077","Document and comment",42.3
"PID0077","Analysis and research",41.2
"PID0077","General assistance",25
"PID0077","Specialised workflow",29.4
"PID0078","Write or debug code",56.7
"PID0078","Meeting workflow",165.3
"PID0078","Email workflow",244.9
"PID0078","Communication workflow",125
"PID0078","Document and comment",143
"PID0078","Analysis and research",144.4
"PID0078","General assistance",76.8
"PID0078","Specialised workflow",31.9
"PID0079","Write or debug code",52.9
"PID0079","Meeting workflow",162.1
"PID0079","Email workflow",147.7
"PID0079","Communication workflow",123.7
"PID0079","Document and comment",103.5
"PID0079","Analysis and research",97.2
"PID0079","General assistance",79.1
"PID0079","Specialised workflow",30.1
"PID0080","Write or debug code",782.7
"PID0080","Meeting workflow",212.1
"PID0080","Email workflow",163.8
"PID0080","Communication workflow",181.5
"PID0080","Document and comment",238.3
"PID0080","Analysis and research",259.9
"PID0080","General assistance",115.3
"PID0080","Specialised workflow",174.8
"PID0081","Write or debug code",2493.2
"PID0081","Meeting workflow",430.8
"PID0081","Email workflow",532
"PID0081","Communication workflow",523
"PID0081","Document and comment",431.5
"PID0081","Analysis and research",785.8
"PID0081","General assistance",273.3
"PID0081","Specialised workflow",389.2
"PID0082","Write or debug code",97.6
"PID0082","Meeting workflow",20.6
"PID0082","Email workflow",20.4
"PID0082","Communication workflow",15.8
"PID0082","Document and comment",17.8
"PID0082","Analysis and research",22.6
"PID0082","General assistance",12.4
"PID0082","Specialised workflow",14.4
"PID0083","Write or debug code",45.5
"PID0083","Meeting workflow",103.9
"PID0083","Email workflow",102.1
"PID0083","Communication workflow",71.8
"PID0083","Document and comment",68.8
"PID0083","Analysis and research",72.8
"PID0083","General assistance",73.2
"PID0083","Specialised workflow",19.5
"PID0084","Write or debug code",3.3
"PID0084","Meeting workflow",9.5
"PID0084","Email workflow",17
"PID0084","Communication workflow",23.4
"PID0084","Document and comment",11
"PID0084","Analysis and research",10.9
"PID0084","General assistance",17.8
"PID0084","Specialised workflow",4.5
"PID0085","Write or debug code",30.4
"PID0085","Meeting workflow",103.8
"PID0085","Email workflow",96
"PID0085","Communication workflow",64.6
"PID0085","Document and comment",70.3
"PID0085","Analysis and research",65.6
"PID0085","General assistance",58.1
"PID0085","Specialised workflow",18.6
"PID0086","Write or debug code",38.3
"PID0086","Meeting workflow",96
"PID0086","Email workflow",108.7
"PID0086","Communication workflow",77.8
"PID0086","Document and comment",97.9
"PID0086","Analysis and research",66.1
"PID0086","General assistance",59.2
"PID0086","Specialised workflow",17.2
"PID0087","Write or debug code",12
"PID0087","Meeting workflow",61
"PID0087","Email workflow",49.1
"PID0087","Communication workflow",24.4
"PID0087","Document and comment",30.7
"PID0087","Analysis and research",24
"PID0087","General assistance",19.1
"PID0087","Specialised workflow",6.5
"PID0088","Write or debug code",49.4
"PID0088","Meeting workflow",150.7
"PID0088","Email workflow",219.9
"PID0088","Communication workflow",79.7
"PID0088","Document and comment",246.3
"PID0088","Analysis and research",186.3
"PID0088","General assistance",38.8
"PID0088","Specialised workflow",47.9
"PID0089","Write or debug code",15.8
"PID0089","Meeting workflow",35.6
"PID0089","Email workflow",49.6
"PID0089","Communication workflow",43.2
"PID0089","Document and comment",35.4
"PID0089","Analysis and research",37
"PID0089","General assistance",24.1
"PID0089","Specialised workflow",9.9
"PID0090","Write or debug code",27.5
"PID0090","Meeting workflow",69.6
"PID0090","Email workflow",154.9
"PID0090","Communication workflow",72.5
"PID0090","Document and comment",133.5
"PID0090","Analysis and research",273.2
"PID0090","General assistance",70.4
"PID0090","Specialised workflow",34.2
"PID0091","Write or debug code",42.7
"PID0091","Meeting workflow",128.6
"PID0091","Email workflow",204.7
"PID0091","Communication workflow",71.8
"PID0091","Document and comment",185.7
"PID0091","Analysis and research",521.6
"PID0091","General assistance",66
"PID0091","Specialised workflow",72.1
"PID0092","Write or debug code",29.2
"PID0092","Meeting workflow",48.6
"PID0092","Email workflow",44.5
"PID0092","Communication workflow",42.9
"PID0092","Document and comment",44.3
"PID0092","Analysis and research",32.9
"PID0092","General assistance",25.8
"PID0092","Specialised workflow",8.8
"PID0093","Write or debug code",428.5
"PID0093","Meeting workflow",113
"PID0093","Email workflow",120
"PID0093","Communication workflow",106.5
"PID0093","Document and comment",108.7
"PID0093","Analysis and research",155.1
"PID0093","General assistance",81.5
"PID0093","Specialised workflow",60.5
"PID0094","Write or debug code",21.6
"PID0094","Meeting workflow",72.2
"PID0094","Email workflow",80.8
"PID0094","Communication workflow",82.5
"PID0094","Document and comment",161.6
"PID0094","Analysis and research",60.7
"PID0094","General assistance",32.9
"PID0094","Specialised workflow",17.8
"PID0095","Write or debug code",88.8
"PID0095","Meeting workflow",16
"PID0095","Email workflow",16.9
"PID0095","Communication workflow",18.8
"PID0095","Document and comment",12.4
"PID0095","Analysis and research",22.7
"PID0095","General assistance",10.6
"PID0095","Specialised workflow",13.2
"PID0096","Write or debug code",0
"PID0096","Meeting workflow",0
"PID0096","Email workflow",0
"PID0096","Communication workflow",0
"PID0096","Document and comment",0
"PID0096","Analysis and research",0
"PID0096","General assistance",0
"PID0096","Specialised workflow",0
"PID0097","Write or debug code",5.2
"PID0097","Meeting workflow",32.4
"PID0097","Email workflow",44.8
"PID0097","Communication workflow",25.5
"PID0097","Document and comment",15.3
"PID0097","Analysis and research",22.9
"PID0097","General assistance",10.2
"PID0097","Specialised workflow",5
"PID0098","Write or debug code",2.5
"PID0098","Meeting workflow",19.6
"PID0098","Email workflow",23.6
"PID0098","Communication workflow",15.5
"PID0098","Document and comment",8.7
"PID0098","Analysis and research",10.3
"PID0098","General assistance",5.3
"PID0098","Specialised workflow",3.7
"PID0099","Write or debug code",1.8
"PID0099","Meeting workflow",19.2
"PID0099","Email workflow",18.6
"PID0099","Communication workflow",11.3
"PID0099","Document and comment",9.8
"PID0099","Analysis and research",6.1
"PID0099","General assistance",5.6
"PID0099","Specialised workflow",2.2
"PID0100","Write or debug code",19
"PID0100","Meeting workflow",91.3
"PID0100","Email workflow",84.7
"PID0100","Communication workflow",36.7
"PID0100","Document and comment",107.2
"PID0100","Analysis and research",109.2
"PID0100","General assistance",42.2
"PID0100","Specialised workflow",29.6
"PID0101","Write or debug code",215.1
"PID0101","Meeting workflow",43.5
"PID0101","Email workflow",24.5
"PID0101","Communication workflow",31.2
"PID0101","Document and comment",30.2
"PID0101","Analysis and research",50.6
"PID0101","General assistance",29.5
"PID0101","Specialised workflow",29.5
"PID0102","Write or debug code",2
"PID0102","Meeting workflow",12.1
"PID0102","Email workflow",19.4
"PID0102","Communication workflow",11.6
"PID0102","Document and comment",8
"PID0102","Analysis and research",7.9
"PID0102","General assistance",5.6
"PID0102","Specialised workflow",3.4
"PID0103","Write or debug code",25.7
"PID0103","Meeting workflow",87.9
"PID0103","Email workflow",126.9
"PID0103","Communication workflow",41.3
"PID0103","Document and comment",148.5
"PID0103","Analysis and research",82.2
"PID0103","General assistance",48.4
"PID0103","Specialised workflow",33.3
"PID0104","Write or debug code",15.8
"PID0104","Meeting workflow",39
"PID0104","Email workflow",85.1
"PID0104","Communication workflow",72.8
"PID0104","Document and comment",40.6
"PID0104","Analysis and research",35.4
"PID0104","General assistance",40.8
"PID0104","Specialised workflow",17.4
"PID0105","Write or debug code",9.7
"PID0105","Meeting workflow",50.1
"PID0105","Email workflow",74.8
"PID0105","Communication workflow",57.9
"PID0105","Document and comment",43.3
"PID0105","Analysis and research",40.3
"PID0105","General assistance",38.9
"PID0105","Specialised workflow",14.4
"PID0106","Write or debug code",26.4
"PID0106","Meeting workflow",67.4
"PID0106","Email workflow",171.4
"PID0106","Communication workflow",165.9
"PID0106","Document and comment",61.3
"PID0106","Analysis and research",57.5
"PID0106","General assistance",108.4
"PID0106","Specialised workflow",44.7
"PID0107","Write or debug code",19.3
"PID0107","Meeting workflow",82
