AgentId,AgentName,CreatorType,PublishingSource
S_e5b24e96dab39e6b3003a762d6ab9b27,Customer Guide Alpha 0039,User,Other
S_ce9c92cd101250285666f09db13e81c6,Finance Guide Alpha 0040,User,Agent Builder
S_f8ec03dfa5e7468052381fdaa23066c4,People Guide Alpha 0041,Your org,Other
S_681ce10d8adf0f0db7596dbbc8721af1,Data Guide Alpha 0042,User,Other
S_11d3106d575946216c11517cca43babb,Process Guide Alpha 0043,User,Agent Builder
S_d413d26bc0a6564fd51d4ad8c825fec1,Quality Guide Alpha 0044,User,Other
S_7f3a4df3f92c8a78d8114486ca72b2ec,Comms Guide Alpha 0045,User,Agent Builder
S_75e21f5e7e4b0ee8765c27f8dfd1f22c,Review Guide Alpha 0046,User,Other
S_da3080783cae9d88a21aed12bc93faea,Onboarding Guide Alpha 0047,Your org,Other
S_90d5e594a24a28e713c14ca202410332,Reporting Guide Alpha 0048,Microsoft,Microsoft other
S_3c7b5e7b3d76a92192013cd4cbb4f6ae,Workspace Coach Alpha 0049,Microsoft,Microsoft other
S_d1dd18aa71b29aa567eeaefff44961fc,Knowledge Coach Alpha 0050,User,Agent Builder
S_e49d950d8c014c6b6c18e318558e6f92,Support Coach Alpha 0051,User,Other
S_b77b0bc8fcf3e1c2a8a6bed91d41c264,Planning Coach Alpha 0052,Your org,Other
S_aaff33be5e70ef9a03ee2add063f650e,Insight Coach Alpha 0053,User,Other
S_ac280a62a524ee4ae405564bc5532fa5,Briefing Coach Alpha 0054,User,Other
S_0639ffbc3ee022f6a1e228dabf930905,Research Coach Alpha 0055,User,Other
S_80be32b07a1c2d99e87d29cd8e974d15,Drafting Coach Alpha 0056,User,Other
S_ab58dd6d2b285c0c0341efff735e8675,Operations Coach Alpha 0057,User,Agent Builder
S_8060d728117fee09e76652a7414fa922,Service Coach Alpha 0058,User,Agent Builder
S_55e82b918c9af791353aeff991624132,Learning Coach Alpha 0059,User,Agent Builder
S_c5b2b7027fe80534c91c50a29084aa3c,Feedback Coach Alpha 0060,User,Other
S_39b82c437a97f3314325fe903a94f4cd,Project Coach Alpha 0061,User,Other
S_fea5d7205377b351adc35df28442c1f1,Policy Coach Alpha 0062,Microsoft,Microsoft other
S_32eae2cde1490e435f875b020336e60e,Customer Coach Alpha 0063,User,Agent Builder
S_f523c33c533232c36ce1e4e582d22d5c,Finance Coach Alpha 0064,User,Other
S_f834138980bfc0f7415d1674d0d6e923,People Coach Alpha 0065,User,Other
S_931117380b11c6a63c2718765fa05e7e,Data Coach Alpha 0066,User,Agent Builder
S_2c410bc8b4040e1a74d2cc7a661cbca9,Process Coach Alpha 0067,Your org,Other
S_3438f0d84ee1551eac19125fdcf21721,Quality Coach Alpha 0068,Your org,Other
S_80570c62006f688bca794496809eebe1,Comms Coach Alpha 0069,User,SharePoint
S_3919e1b35418236a7dd2b4a5618b9ce5,Review Coach Alpha 0070,User,Other
S_d66bbd4e3b1d31f2258840654fafd22f,Onboarding Coach Alpha 0071,Microsoft,Microsoft other
S_f54e98857a99853c7b150d5d0c86a2d6,Reporting Coach Alpha 0072,User,Other
S_0198e9a5595076797e5e07b7a4198bda,Workspace Helper Alpha 0073,User,Agent Builder
S_2721c273cdeb57c56a55faa30ca04342,Knowledge Helper Alpha 0074,Your org,Other
S_fbeacaa0717f9dfeba683ae4750a02d3,Support Helper Alpha 0075,User,Other
S_ad77665b897d77c90c66b4bc5641b92d,Planning Helper Alpha 0076,User,Agent Builder
S_476daee8f4461406d25b046d8e8de7f5,Insight Helper Alpha 0077,User,Agent Builder
S_b5db2bc553e1447f594e1644e9158b1a,Briefing Helper Alpha 0078,User,Other
S_08ea3659ac13f8a10c337cd8329e350e,Research Helper Alpha 0079,User,Microsoft Copilot Studio
S_86ae71f825d35760adb0cbf67aec603d,Drafting Helper Alpha 0080,Third party,Other
S_c6dd79c8c0f7fa533f48372ae1614c6c,Operations Helper Alpha 0081,Your org,Other
S_7859dbcc16325a53d34073d47dd7a904,Service Helper Alpha 0082,User,Agent Builder
S_2d43112c6f097dc43f5c178ff75bae74,Learning Helper Alpha 0083,User,Other
S_a21b26a37cb241e625e469df221a9918,Feedback Helper Alpha 0084,Your org,Other
S_d5ce1ef394789462c0f8508c209082a7,Project Helper Alpha 0085,User,Other
S_a9bf0599396310ba73686efb4d19aafc,Policy Helper Alpha 0086,User,Other
S_eb2d8ca7801d8608f68b8fdeec6579d7,Customer Helper Alpha 0087,User,Agent Builder
S_a436c9f66de9855c2b8daf3ccc16d57e,Finance Helper Alpha 0088,User,Other
S_eebf8d0e746d68625fbb72b8ec361cdc,People Helper Alpha 0089,Your org,Other
S_9de54681b763d48258e9c77222ca4f75,Data Helper Alpha 0090,Your org,Other
S_4b97e1eac1034692931c927e78563463,Process Helper Alpha 0091,Your org,Other
S_a5d8a413a48dc2b70dc2cec92bafa329,Quality Helper Alpha 0092,Your org,Other
S_dca5372399c5dfddff130092f15bc9ff,Comms Helper Alpha 0093,Microsoft,Microsoft other
S_4cb192e96b44bc2be6dadd52377dd65b,Review Helper Alpha 0094,User,Agent Builder
S_be56f9275fc251cb3f5c75ede748dbd8,Onboarding Helper Alpha 0095,Microsoft,Microsoft other
S_6490115ee5ae5b1483dac881946c2741,Reporting Helper Alpha 0096,User,Other
S_ffdf244652f83538f2debcfe3cda456f,Workspace Advisor Alpha 0097,User,Other
S_d0fdbb15fab10f75d39ab336d7613cd9,Knowledge Advisor Alpha 0098,User,Agent Builder
S_c059c3d243ae1fa535847aae7c351526,Support Advisor Alpha 0099,User,Agent Builder
S_48317fd7a4282b16c639815aaf9601f3,Planning Advisor Alpha 0100,Microsoft,Microsoft other
S_9c8ff00c5333c0a86e25d51a36685268,Insight Advisor Alpha 0101,User,Other
S_f79a89d02e8d606da91827561e4b76ce,Briefing Advisor Alpha 0102,User,Other
S_f0586eaa5cf208e419d8e0777bec8934,Research Advisor Alpha 0103,User,Other
S_666c857fddf10260f39f51eb038dc993,Drafting Advisor Alpha 0104,User,Other
S_9d39ca46885e7e00924cf8020295199e,Operations Advisor Alpha 0105,User,Other
S_20a8dac805eb9b5f792aac5154c7a6d2,Service Advisor Alpha 0106,User,Agent Builder
S_e86a7c6f9509f54aa11f0c130ac15e11,Learning Advisor Alpha 0107,Your org,Other
S_142d83c44c4454bb2ca0a4956885873a,Feedback Advisor Alpha 0108,User,Other
S_c13b5159efe2f16b65a29b59f390476f,Project Advisor Alpha 0109,Your org,Other
S_ae852af033ed473b0730e5a8e251da64,Policy Advisor Alpha 0110,User,Other
S_b4aab325cdd2fd1d312f1c6e761b1f0b,Customer Advisor Alpha 0111,User,Other
S_97e4564de657d28f5972e00ca7a491a2,Finance Advisor Alpha 0112,User,Agent Builder
S_f569f5e608c2ad968ba29de075d44e92,People Advisor Alpha 0113,User,Other
S_4438eb4ffc26c2e46a8808be2e545134,Data Advisor Alpha 0114,User,Other
S_b87839b8969d63f650b59fc2f9ca03bb,Process Advisor Alpha 0115,User,Other
S_88a9807039a45c88dee1f56dd6d3220f,Quality Advisor Alpha 0116,User,Agent Builder
S_db4f2b0f658f7aea331ca70a7c165631,Comms Advisor Alpha 0117,User,Other
S_bb6a9905d198578e30c609b1ae1ee892,Review Advisor Alpha 0118,User,Agent Builder
S_a7ce409dc4518b1dffa78e587db0bf54,Onboarding Advisor Alpha 0119,User,Agent Builder
S_3bdf02ca646668fd1c2a7e920ef25b00,Reporting Advisor Alpha 0120,User,Other
S_5732fb07963b0f289a2b0138f36e5fe2,Workspace Companion Alpha 0121,User,Agent Builder
S_dc9814678a3dde91dee9b56ede57db7d,Knowledge Companion Alpha 0122,User,Agent Builder
S_b880e8c2140632e3d751bcb5350cd7d8,Support Companion Alpha 0123,User,Other
S_396583efbb9ff8b6d67c06c8fcdf6153,Planning Companion Alpha 0124,User,Other
S_68b3f87d08245fca8464edfbc3449b99,Insight Companion Alpha 0125,User,Other
S_ae0c271d04b63d79eecfb5a2870e970f,Briefing Companion Alpha 0126,User,Other
S_55fe79fd95587ae3c3a297f72fc584d5,Research Companion Alpha 0127,User,Microsoft Copilot Studio
S_e9fb3746fe887428a93f161eb8f66d57,Drafting Companion Alpha 0128,User,Other
S_4594ce6d17c4f6912961067f2a0cd9ca,Operations Companion Alpha 0129,User,Agent Builder
S_804d3247f15e77ce52fdc18643ed19e6,Service Companion Alpha 0130,Your org,Other
S_4d5458e93760f842e8af8523d089a804,Learning Companion Alpha 0131,User,Microsoft Copilot Studio
S_d807a1fff6900049d40965372539f324,Feedback Companion Alpha 0132,User,Other
S_e5b4f28df6246a9bd75fab4f156467f8,Project Companion Alpha 0133,User,Other
S_9c650b5cfc68e3ee14791cfc3cdc9bbc,Policy Companion Alpha 0134,User,Other
S_e0fadf6315ee439b53a424655acc8d24,Customer Companion Alpha 0135,User,Other
S_3bf32c1c5ae49873a58c73da9278f9af,Finance Companion Alpha 0136,User,Microsoft Copilot Studio
S_b6c0b5f2365fb8fd8a635a3825239599,People Companion Alpha 0137,User,Other
S_c529259e518aae78cc9fae81a149df0c,Data Companion Alpha 0138,User,Other
S_9a450d9019e41d42524b1c14fc3abd50,Process Companion Alpha 0139,User,Other
S_6be25f939204a917e0483b024f1bf58d,Quality Companion Alpha 0140,Microsoft,Microsoft other
S_e9ea209fee45bb190c182bd960700459,Comms Companion Alpha 0141,User,Other
S_3b3a336f444f2a12d55bfa079f2af8d0,Review Companion Alpha 0142,User,Other
S_1662ed5ce6e1225097a437ef10d39e98,Onboarding Companion Alpha 0143,User,Other
S_48eb985d21ce9c089981b1047bd7b23c,Reporting Companion Alpha 0144,User,Other
S_e1dae6a3dd8ad2572848a5149305b898,Workspace Navigator Alpha 0145,User,Agent Builder
S_289d7f6afb57047a4e218238ccdaf000,Knowledge Navigator Alpha 0146,User,Other
S_e904823fbce8d02b2a830f8ffc012bf2,Support Navigator Alpha 0147,User,Other
S_76dee1b25b1f7ab1491a8eb0a8970dbe,Planning Navigator Alpha 0148,Microsoft,Microsoft other
S_18834edde2079eac27a540cd778d269a,Insight Navigator Alpha 0149,User,Agent Builder
S_c7ebb0edd1b457b58cea7fc6c2e0b724,Briefing Navigator Alpha 0150,User,Other
S_1a759622d25409dd5a0e931a2e3db395,Research Navigator Alpha 0151,User,Agent Builder
S_b6d962c7cb1bf3988db130e7f4d39b0e,Drafting Navigator Alpha 0152,User,Other
S_f4ad82b78f087d6f302e531f0280bce5,Operations Navigator Alpha 0153,User,Other
S_e501b33e4d4bb5cd0f6702af02967543,Service Navigator Alpha 0154,User,Agent Builder
S_8d9d50bd01776396bc9358b29cca81fb,Learning Navigator Alpha 0155,User,Other
S_808f1c86d25f2660430cb85dafb91782,Feedback Navigator Alpha 0156,User,Other
S_3cebaf35ee34ca789788d83ed6d7b728,Project Navigator Alpha 0157,User,Other
S_52ae7658799ad7ed14ef26ae8209a1db,Policy Navigator Alpha 0158,User,Other
S_4b89c87e3d95b75964a1126fe8171b72,Customer Navigator Alpha 0159,User,Other
S_efd25a3c3cc2abb254792906d9e22bf5,Finance Navigator Alpha 0160,User,Other
S_f7f3bc567292ae53cdbdfa74511cb646,People Navigator Alpha 0161,User,Microsoft Copilot Studio
S_21e4448165405ff10a23d0a0586a5570,Data Navigator Alpha 0162,User,Agent Builder
S_d7565928ccd26f111cb87b17f56516b8,Process Navigator Alpha 0163,User,SharePoint
S_04119f7a55b29f3f1b06f3d082e47db0,Quality Navigator Alpha 0164,User,Other
S_0e9ad63a3d54c5aaa4fca973e0c761af,Comms Navigator Alpha 0165,User,Other
S_ede1e32cccd0862e3b9218ea00b2d6fb,Review Navigator Alpha 0166,User,Other
S_16a1703b6ceaaa815000ab0b5d462bc7,Onboarding Navigator Alpha 0167,User,SharePoint
S_d867365d6163436f85be611c6ec23930,Reporting Navigator Alpha 0168,User,Agent Builder
S_258a16609778adba582263b591f7903e,Workspace Planner Alpha 0169,User,Agent Builder
S_aa0141194660ca387546342754a10bfa,Knowledge Planner Alpha 0170,User,Agent Builder
S_0ae9e2f259ea85d204aabfe41facb0c2,Support Planner Alpha 0171,Your org,Other
S_6f69631100aea1136152ad4c38f55e22,Planning Planner Alpha 0172,User,Agent Builder
S_a3fe8cb38cd7548d8bdb0774a7c9ed12,Insight Planner Alpha 0173,User,Other
S_3e2882c07ad446c42c413e59d853e69c,Briefing Planner Alpha 0174,User,Other
S_2a4b07c7f875e450dc16cf44221b043e,Research Planner Alpha 0175,User,Other
S_4f75e687bd59284c6ce839f34da371d8,Drafting Planner Alpha 0176,Microsoft,Microsoft other
S_ba411ff8dcab7135413738cf8b14169e,Operations Planner Alpha 0177,User,Other
S_f0eb16f14accd4fcba9f34802913b2ef,Service Planner Alpha 0178,User,Other
S_2303f3253e68a7e65de783db563340a1,Learning Planner Alpha 0179,User,Other
S_a7666605196bec17e63c1a9180da84df,Feedback Planner Alpha 0180,User,Microsoft Copilot Studio
S_0870d221ba8e9e9da87c746daa587dc8,Project Planner Alpha 0181,User,Other
S_f760cbcdd1b48cb41c5a93595ef59fdb,Policy Planner Alpha 0182,User,Other
S_b7747a06f7b80326526d5ec3326dd8ce,Customer Planner Alpha 0183,User,Other
S_207e381f0c13019417176ef33019eba8,Finance Planner Alpha 0184,User,Other
S_f4699f841a2f26fe298d0f2d458476d3,People Planner Alpha 0185,User,Agent Builder
S_49f2daddf3889ff6a6a4081cc6fabdae,Data Planner Alpha 0186,User,Agent Builder
S_490afb73a7ee2d4343f82b5a0e5effc5,Process Planner Alpha 0187,User,Other
S_9f34f47eed16d82e5e72472e470e9eb1,Quality Planner Alpha 0188,User,Other
S_46c18e045ea7c8dbd1654efaa95e7c5a,Comms Planner Alpha 0189,User,Other
S_c481f284c0a70a0a33c86bb485cc34c9,Review Planner Alpha 0190,User,Other
S_9e5f77f85c62cd46ce7959af430cc825,Onboarding Planner Alpha 0191,Your org,Other
S_481008f3d65e5c02f2a2560ce89ad865,Reporting Planner Alpha 0192,User,Other
S_5960f137cb89c75c00bfe8cff5008750,Workspace Analyst Alpha 0193,User,Other
S_b79710a8afe672b00e33c50268f48346,Knowledge Analyst Alpha 0194,User,Other
S_ab251976562264163ba29a13c9da32ab,Support Analyst Alpha 0195,User,Other
S_7f06bd8be68aca8cf984a6b7e9c8cd47,Planning Analyst Alpha 0196,User,Other
S_5307a10851f89ef643711e64e5b0beb1,Insight Analyst Alpha 0197,User,Agent Builder
S_e94a6b24bf6d6597bdc2b98ad0b884bc,Briefing Analyst Alpha 0198,Your org,Other
S_0f8cbb99fd0deb71fd80defbc6433fe3,Research Analyst Alpha 0199,User,Other
S_eaade77db997ce467b5c5a5902d40f9d,Drafting Analyst Alpha 0200,User,Agent Builder
S_d22d690694c787e69a88674c1f71237f,Operations Analyst Alpha 0201,User,Other
S_c840eac5e3675fd9cf2a5275326133b9,Service Analyst Alpha 0202,User,Other
S_6901478272f7ad95b6af0581d138c395,Learning Analyst Alpha 0203,User,Agent Builder
S_11e060edd02bb382103c53acccc2233a,Feedback Analyst Alpha 0204,User,Other
S_b7c71d83b973bd543dc12754575f05dd,Project Analyst Alpha 0205,User,Other
S_c5d65f926aaa624914f72536a70099e6,Policy Analyst Alpha 0206,User,Other
S_f42808d63f3f0a7d6635771765738718,Customer Analyst Alpha 0207,User,Agent Builder
S_46d381b5487e15668cfe6b9d19af2d28,Finance Analyst Alpha 0208,User,Other
S_ec9160b50b8116f09dc8b57d44e67b4a,People Analyst Alpha 0209,User,Other
S_22b6eaefe6f23745c49fd21d1dc1ff05,Data Analyst Alpha 0210,User,Other
S_0573179593cf46fc2dd7b2c45aa84a66,Process Analyst Alpha 0211,User,Agent Builder
S_9552431a1aea60acdf54628313fe5cea,Quality Analyst Alpha 0212,User,Agent Builder
S_7025fbd4d1a7bc852c4d73904a6ca5f1,Comms Analyst Alpha 0213,User,Other
S_394d3609ec3e00e42eaeb6794d61a732,Review Analyst Alpha 0214,User,Other
S_d3c1f683163b58b99f1ac7f9667bd426,Onboarding Analyst Alpha 0215,User,Other
S_d105b0430601bafd03b687902976f5de,Reporting Analyst Alpha 0216,User,Other
S_4c2e9feb262c25afb547386013899575,Workspace Coordinator Alpha 0217,User,Other
S_5d45c0a12944f9fdf90db5039d59e07c,Knowledge Coordinator Alpha 0218,User,Other
S_cba1ed2bca52ec17447b17553c4d36b8,Support Coordinator Alpha 0219,User,Agent Builder
S_c11a7ca1590d77b9ace2cb03187c5796,Planning Coordinator Alpha 0220,User,Agent Builder
S_f3bdf45fcf895af2c75422a465bc1fee,Insight Coordinator Alpha 0221,User,Other
S_d811a6b2c4dd67a23e70c1685e0f9ac8,Briefing Coordinator Alpha 0222,User,Other
S_5a4671dd5ea92216a5cb116249330a53,Research Coordinator Alpha 0223,User,Other
S_a0b1c757a4eba82ce77a7c328de291c4,Drafting Coordinator Alpha 0224,User,Other
S_11ec70671dfddcf38f4c5172717b0d5b,Operations Coordinator Alpha 0225,User,Agent Builder
S_50ff5aba4cb86554b4fdccfa400669f1,Service Coordinator Alpha 0226,Microsoft,Microsoft other
S_2c69f62dd6dc58b317e9352e1325d80f,Learning Coordinator Alpha 0227,User,SharePoint
S_1ab19ab8b5d5ab61033474779e757b69,Feedback Coordinator Alpha 0228,User,Agent Builder
S_1ae3686e483c0e392f02e3345199f98d,Project Coordinator Alpha 0229,User,Microsoft Copilot Studio
S_a9d052879383fa484dcfa0feab02f279,Policy Coordinator Alpha 0230,User,Other
S_baf2fdd590660ff8144c86d1dca6758a,Customer Coordinator Alpha 0231,User,Microsoft Copilot Studio
S_466616abd0314e709171080eac40b0d5,Finance Coordinator Alpha 0232,User,Other
S_97b43738c2c06347309443864bc8bb92,People Coordinator Alpha 0233,User,Other
S_d51e3c0eb0dfa2c79a8c28417d085b38,Data Coordinator Alpha 0234,User,Other
S_d02701cbbb284a0c1c5df4bbfb2f9a8a,Process Coordinator Alpha 0235,User,Other
S_1e43e3ab4976df48a9789e07f987b1c4,Quality Coordinator Alpha 0236,User,Agent Builder
S_0d38170a48557ba2089b4247b2367dc0,Comms Coordinator Alpha 0237,User,Microsoft Copilot Studio
S_a1a55780f48c0955c044f7f1892414c1,Review Coordinator Alpha 0238,User,Other
S_204f04e49508c7225ea321796972db33,Onboarding Coordinator Alpha 0239,User,Other
S_d4836559f831cf5b39e1f9c152c74ce8,Reporting Coordinator Alpha 0240,User,Agent Builder
S_af3cfe67a8c9913746e933df29c03a10,Workspace Reviewer Alpha 0241,User,Other
S_feea632ac1d5dfcae6e3fed91769d175,Knowledge Reviewer Alpha 0242,User,Other
S_0031ea0917331d2a4ffeee10e28156b5,Support Reviewer Alpha 0243,User,Other
S_7d5aac2193f03f4d0938dc566e12267a,Planning Reviewer Alpha 0244,User,Agent Builder
S_ebec936b9627ce18296635049b28d9dc,Insight Reviewer Alpha 0245,User,Other
S_fcad5f5ff68a4c3b0eeeeda30e6035be,Briefing Reviewer Alpha 0246,User,Microsoft Copilot Studio
S_0154096fc03ae76d4630c84a8f4b4086,Research Reviewer Alpha 0247,User,Other
S_b2a0fa984fa6e2229a33f2191cab105c,Drafting Reviewer Alpha 0248,User,Other
S_72fc28e81d4f52b3effc69d818ee7abd,Operations Reviewer Alpha 0249,User,Other
S_75d3d11669cfe7c8dde0853ad9cdbd8c,Service Reviewer Alpha 0250,User,Other
S_6b1ce85b4f6bd6daf0647a142f9f1e8a,Learning Reviewer Alpha 0251,User,Other
S_0b3bed93261a359499c733231f0e73fb,Feedback Reviewer Alpha 0252,User,Other
S_a2b9ec5322fa588e49fe127d4e7a63cc,Project Reviewer Alpha 0253,User,Other
S_4d124b52911a18358ce06f541c205dc5,Policy Reviewer Alpha 0254,User,Agent Builder
S_d81cdf3312df8bcbb270290f432e90b6,Customer Reviewer Alpha 0255,User,Other
S_2be6f166644ba12afb2ffef5f47a274e,Finance Reviewer Alpha 0256,User,Other
S_e893fa81a5ad1a93a6276fa556c30667,People Reviewer Alpha 0257,User,Other
S_73c562745686a68b5fbd531f6d1522a0,Data Reviewer Alpha 0258,User,Other
S_5e15dc3c32b4c23a2985b95c7b74e6cc,Process Reviewer Alpha 0259,User,Microsoft Copilot Studio
S_f4f755b3b55ce73d896df9a350d1e676,Quality Reviewer Alpha 0260,User,Other
S_434288d9a84554bd47ab556860707d11,Comms Reviewer Alpha 0261,User,Agent Builder
S_4531b4abdfe3867544dbcd726fc55996,Review Reviewer Alpha 0262,User,Agent Builder
S_692961f5018c6dfb39bfe1390bb6ddf2,Onboarding Reviewer Alpha 0263,User,Other
S_a29818b020b62fd350d5af30d94e75b6,Reporting Reviewer Alpha 0264,User,Microsoft Copilot Studio
S_ecb33b75e07208371a953e3044b4045f,Workspace Reporter Alpha 0265,User,Agent Builder
S_a56af1ca179e9a23d322ebbf40bc444c,Knowledge Reporter Alpha 0266,User,Agent Builder
S_352ccd24c18eb7a61748e7d93e317f0c,Support Reporter Alpha 0267,User,Other
S_fe6d3943ca19f2c1ad9baaa3c429bec5,Planning Reporter Alpha 0268,User,Agent Builder
S_2e8305710edcedf3ca64d8440277666d,Insight Reporter Alpha 0269,User,Agent Builder
S_b42cdc627398c561eabfbb34145d7294,Briefing Reporter Alpha 0270,User,Other
S_9d04bb8d0568f6cb11943f45d2d3802b,Research Reporter Alpha 0271,User,Agent Builder
S_fdc9916563c3726d588490ffdbb70576,Drafting Reporter Alpha 0272,User,Agent Builder
S_ab1d01ec95ffc952abb10497bb284844,Operations Reporter Alpha 0273,User,Other
S_f1080aedf4108debeb2cccaa5715be79,Service Reporter Alpha 0274,User,Agent Builder
S_c8db5c7af20ed31735dbc208bc2d1c54,Learning Reporter Alpha 0275,User,Other
S_b9b18ce028405a948890b6b4cb7d0fb8,Feedback Reporter Alpha 0276,User,Other
S_b43f084d5129229f02f95f10eecaeb4e,Project Reporter Alpha 0277,User,Other
S_e613551497a9891f3664ad4d148436bf,Policy Reporter Alpha 0278,User,Other
S_8513b11cbbed7ff905fc76bea49f5329,Customer Reporter Alpha 0279,User,Agent Builder
S_01584615a5a28b3785ceb27fe59b0116,Finance Reporter Alpha 0280,User,Other
S_b60a427b9d3f5862c05347ed3df296dc,People Reporter Alpha 0281,User,Other
S_3e1259051edb2081f09bbf15d92b45cc,Data Reporter Alpha 0282,User,Agent Builder
S_4ac329cd3b4008cdf127e308d3381d8b,Process Reporter Alpha 0283,User,Other
S_07d2cdd2d3736f7f3446617fd3a6bd28,Quality Reporter Alpha 0284,User,Other
S_c8d42e122082ec5bd66f7ed4733a3edc,Comms Reporter Alpha 0285,User,Other
S_6e67f7282d4577f8128d53b74aa8227a,Review Reporter Alpha 0286,User,Other
S_bf1e3b40cc5b6c7a355ce62d8b8585ec,Onboarding Reporter Alpha 0287,User,Other
S_a523d65365fa4166728da2fc2908a5fd,Reporting Reporter Alpha 0288,User,Other
S_8782aa86b4bb394d58dcc67cb91b68c4,Workspace Assistant Beta 0289,Your org,Other
S_ac9b833f0e38cf209405965cb53e586d,Knowledge Assistant Beta 0290,User,Agent Builder
S_5677cfd25f12a2d68acf74b919d8ed51,Support Assistant Beta 0291,User,Other
S_d16ab340e035a7cd6b62a13a0dfcc37e,Planning Assistant Beta 0292,User,Agent Builder
S_fdcb26081b7051f6fd964c3de5d2e9e0,Insight Assistant Beta 0293,Your org,Other
S_bec56ed5d0161840760edca1ab4410b3,Briefing Assistant Beta 0294,User,Agent Builder
S_f83d29b7799429f595e0dc7ea8cf23db,Research Assistant Beta 0295,User,Other
S_682445f8238188f31772ef30e1939860,Drafting Assistant Beta 0296,User,Other
S_624b5287db83474fd86d7e707d5f88b8,Operations Assistant Beta 0297,User,Other
S_db93bf49a6ebfc5a4b9816537e463893,Service Assistant Beta 0298,User,Other
S_1e1cb3456622df7c0cd85ef89dd2d2d7,Learning Assistant Beta 0299,User,Other
S_f6a883b64e5079e6f7822e3e7011cf36,Feedback Assistant Beta 0300,User,Other
S_8026cdec5cf208c447938af54b4e5ea8,Project Assistant Beta 0301,User,Agent Builder
S_8e22f3cead39942126e25a1ca8ffce79,Policy Assistant Beta 0302,User,Agent Builder
S_589250214d4b591195a921a0760c34ff,Customer Assistant Beta 0303,User,Other
