PeopleHistoricalId,IsCopilotLicensed,Organization,FunctionType,LevelDesignation,IsManager,Team,Role,Seniority,Tenure,IsDeveloper
176efb99-8d0f-325e-a3e0-daa08e8768321784160000,false,Business Unit D,Engineering,Individual Contributor,No,Payments,Infrastructure engineering,Early career,Under 2 years,Yes
177151d2-54cd-3ad2-8284-a8e0dd758c581784160000,true,Business Unit C,Marketing,Individual Contributor,No,Data Engineering,Other job families,Experienced,2 to 5 years,No
1774c4fc-7c51-3604-be66-ba525f0f55e21784160000,true,Business Unit B,Finance,Individual Contributor,No,Identity,Other job families,Senior / lead,2 to 5 years,No
17e22f9e-8fac-3a68-a9d9-33f2fec904561784160000,true,Business Unit A,Marketing,Individual Contributor,No,Identity,Other job families,Senior / lead,Under 2 years,No
17e9c47e-62ba-33a6-96e1-95ad3c636d221784160000,false,Business Unit D,Engineering,Individual Contributor,No,Developer Experience,Engineering management,Early career,2 to 5 years,Yes
18a6d5f8-3203-3934-be7c-fef235f8d5ee1784160000,true,Business Unit B,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Early career,Under 2 years,Yes
18d39ce1-5a60-3a9e-9621-bfa693409e771784160000,true,Business Unit E,Legal,Individual Contributor,No,Payments,Application engineering,Experienced,2 to 5 years,Yes
18e57ff6-929f-3ca2-ba64-302ef04725561784160000,true,Business Unit A,Sales,Individual Contributor,No,Identity,Other job families,Experienced,Over 5 years,No
19008d6d-be6f-38f0-8a72-4525e9b980221784160000,true,Business Unit A,Engineering,Manager,Yes,Developer Experience,Application engineering,Experienced,Under 2 years,Yes
19a8d904-1f8e-3c9a-938b-b768b7119baa1784160000,true,Business Unit E,Engineering,Individual Contributor,No,Platform,Other job families,Early career,2 to 5 years,No
19fa59d6-c1b5-3e11-ba74-ad111de5584f1784160000,true,Business Unit B,Engineering,Individual Contributor,No,Payments,Infrastructure engineering,Early career,2 to 5 years,Yes
1b3fb613-cf66-3fd2-9f95-ff50109c0acd1784160000,true,Business Unit E,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Senior / lead,2 to 5 years,Yes
1b8ddec0-0b4d-34e9-a40b-e101144894e21784160000,true,Business Unit E,Finance,Manager,Yes,Platform,Infrastructure engineering,Experienced,2 to 5 years,Yes
1bdab13f-7bc5-3e3d-81c9-f9179619fd901784160000,false,Business Unit D,Operations,Individual Contributor,No,Identity,Infrastructure engineering,Experienced,2 to 5 years,Yes
1c3f0a45-334a-3810-b02a-7ba9181fca951784160000,true,Business Unit A,Operations,Individual Contributor,No,Developer Experience,Engineering management,Senior / lead,2 to 5 years,Yes
1e77b604-3a35-382d-aef0-2546310e4c081784160000,false,Business Unit D,Engineering,Manager,Yes,Payments,Engineering management,Experienced,2 to 5 years,Yes
1eae9205-92f7-36a7-94c5-cb082b3e72111784160000,true,Business Unit D,Human Resources,Senior Manager,Yes,Platform,Infrastructure engineering,Experienced,2 to 5 years,Yes
1f7e14b9-0bb8-3674-9af2-eeacd8638c481784160000,true,Business Unit C,Engineering,Individual Contributor,No,Mobile,Application engineering,Experienced,2 to 5 years,Yes
2111daa9-5dbb-36aa-b675-efab46559d5d1784160000,false,Business Unit E,Operations,Individual Contributor,No,Payments,Infrastructure engineering,Early career,2 to 5 years,Yes
2196c199-a684-3430-bc5b-5514bc8e2e371784160000,false,Business Unit D,Operations,Manager,Yes,Developer Experience,Other job families,Senior / lead,2 to 5 years,No
21e18788-026e-37c1-9a0a-259c58a0fc501784160000,true,Business Unit E,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Senior / lead,Over 5 years,Yes
221e9e1f-4d97-3377-bd33-6a1b0c96bccd1784160000,true,Business Unit B,Engineering,Individual Contributor,No,Developer Experience,Application engineering,Senior / lead,Over 5 years,Yes
226055f6-f55e-381a-9363-c4f462e588561784160000,true,Business Unit A,Marketing,Individual Contributor,No,Platform,Engineering management,Senior / lead,2 to 5 years,Yes
2269fc50-2d42-3349-9d12-3bc08569d8ae1784160000,true,Business Unit C,Engineering,Senior Manager,Yes,Platform,Application engineering,Early career,2 to 5 years,Yes
22bb31a4-b250-3135-af35-49c096e624c31784160000,false,Business Unit B,Product,Individual Contributor,No,Platform,Other job families,Senior / lead,Under 2 years,No
23085cdc-54fb-36cc-b1b5-242866ace0991784160000,true,Business Unit C,Finance,Individual Contributor,No,Identity,Infrastructure engineering,Experienced,Over 5 years,Yes
2331b8d4-3563-3b2b-8bf1-ee54a482c6091784160000,true,Business Unit D,Product,Manager,Yes,Developer Experience,Infrastructure engineering,Senior / lead,2 to 5 years,Yes
23ccc17e-364f-3f18-98b0-7b88508838451784160000,true,Business Unit C,Sales,Individual Contributor,No,Mobile,Other job families,Experienced,Over 5 years,No
2506d967-4c9d-3635-800c-3aad6a510ad21784160000,true,Business Unit E,Human Resources,Individual Contributor,No,Identity,Other job families,Senior / lead,Under 2 years,No
2559db9a-1960-37ed-8d0e-57f64168ca6e1784160000,true,Business Unit B,Operations,Individual Contributor,No,Developer Experience,Other job families,Experienced,2 to 5 years,No
25959860-e32a-30fa-9c5c-b11bcaa094261784160000,true,Business Unit B,Marketing,Individual Contributor,No,Data Engineering,Other job families,Senior / lead,Under 2 years,No
27206ebe-b6e9-3d2e-9383-c0fddea86dff1784160000,true,Business Unit A,Legal,Individual Contributor,No,Payments,Other job families,Senior / lead,2 to 5 years,No
287e6ed7-d5c4-384e-b05c-a192485120cb1784160000,true,Business Unit D,Sales,Senior Manager,Yes,Identity,Application engineering,Experienced,Over 5 years,Yes
28cba5c0-c834-3c34-900a-9d6772fd9c301784160000,true,Business Unit D,Human Resources,Individual Contributor,No,Mobile,Engineering management,Experienced,2 to 5 years,Yes
293ef1e1-de24-36d7-bbbe-72ddd220fc3b1784160000,true,Business Unit D,Marketing,Individual Contributor,No,Data Engineering,Other job families,Experienced,Under 2 years,No
29513ef6-a0f9-30aa-b2a3-e67dd9c50f2d1784160000,true,Business Unit E,Legal,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Over 5 years,Yes
29768e10-7435-3d69-8503-a6f77e57bdcd1784160000,true,Business Unit E,Engineering,Senior Manager,Yes,Payments,Infrastructure engineering,Senior / lead,Over 5 years,Yes
2a367cc3-cd10-3636-afde-496c005f90f91784160000,true,Business Unit D,Engineering,Individual Contributor,No,Developer Experience,Engineering management,Senior / lead,2 to 5 years,Yes
2b3c346c-5f49-3232-be35-3443261527b01784160000,true,Business Unit A,Marketing,Senior Manager,Yes,Payments,Application engineering,Experienced,2 to 5 years,Yes
2bf4e90b-5fb4-3eb6-92bd-c21ab46e76391784160000,true,Business Unit C,Engineering,Manager,Yes,Mobile,Infrastructure engineering,Experienced,Over 5 years,Yes
2c484159-e286-3897-9dc9-c58ecde494a51784160000,false,Business Unit E,Product,Director,Yes,Platform,Other job families,Experienced,2 to 5 years,No
2e76675e-a56d-3d02-b097-dab2c2fef6e51784160000,true,Business Unit D,Engineering,Manager,Yes,Payments,Application engineering,Early career,Over 5 years,Yes
2f22c5f8-8d0e-3d0c-8ee0-2f241b41484c1784160000,true,Business Unit E,Human Resources,Senior Manager,Yes,Data Engineering,Other job families,Experienced,2 to 5 years,No
2fd79494-a377-3a29-a882-b11802cfee0c1784160000,true,Business Unit A,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Experienced,Over 5 years,Yes
2fdf5375-31c8-3c6a-9cf3-12465dbec4a51784160000,true,Business Unit C,Product,Individual Contributor,No,Mobile,Engineering management,Senior / lead,Under 2 years,Yes
2fe9cfc5-7b82-3db6-a301-cee9e440ba851784160000,true,Business Unit A,Human Resources,Individual Contributor,No,Identity,Application engineering,Experienced,Over 5 years,Yes
323a2cac-7231-3d1b-90b0-babcb0cf55ba1784160000,true,Business Unit D,Engineering,Senior Manager,Yes,Payments,Application engineering,Experienced,2 to 5 years,Yes
32da1b1b-0d42-3b01-a03e-3891e0cc9afd1784160000,true,Business Unit E,Engineering,Individual Contributor,No,Mobile,Application engineering,Experienced,Under 2 years,Yes
33a96067-0e23-3bf3-8d10-cbec5a261a651784160000,false,Business Unit C,Engineering,Individual Contributor,No,Data Engineering,Infrastructure engineering,Experienced,Under 2 years,Yes
347433f3-c540-3542-ba94-ade15890a88f1784160000,true,Business Unit A,Engineering,Manager,Yes,Platform,Other job families,Senior / lead,Over 5 years,No
34ae6637-3cef-3be3-99a2-8c929e005a101784160000,true,Business Unit A,Finance,Director,Yes,Payments,Other job families,Senior / lead,Over 5 years,No
3615a797-2def-32a3-a0ae-3a6e8eccf0801784160000,true,Business Unit C,Marketing,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
362ffe64-d2bc-3e7f-82bc-868a79cf2bec1784160000,true,Business Unit B,Marketing,Manager,Yes,Platform,Other job families,Experienced,Under 2 years,No
363a066c-58b6-3bcf-a7b0-e9729a735ba71784160000,false,Business Unit D,Operations,Individual Contributor,No,Platform,Infrastructure engineering,Early career,Under 2 years,Yes
36609ac4-6206-306e-8839-af98e2ad9c271784160000,false,Business Unit C,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Experienced,2 to 5 years,Yes
36f0982a-ff58-3c66-9847-439d640e7d961784160000,false,Business Unit C,Engineering,Manager,Yes,Developer Experience,Infrastructure engineering,Experienced,2 to 5 years,Yes
37b4faa0-d736-3395-bc1f-3ea28c7ccbd51784160000,true,Business Unit C,Product,Manager,Yes,Identity,Other job families,Senior / lead,2 to 5 years,No
3980a3b0-7169-37c1-ba12-f7547a8e9e3b1784160000,true,Business Unit C,Engineering,Individual Contributor,No,Platform,Infrastructure engineering,Senior / lead,Over 5 years,Yes
3a95c147-b6b0-329f-88ad-464e73046bbe1784160000,true,Business Unit B,Engineering,Manager,Yes,Data Engineering,Engineering management,Experienced,2 to 5 years,Yes
3ab4ce54-3bfa-3a09-8624-c69a02d776321784160000,false,Business Unit E,Sales,Individual Contributor,No,Data Engineering,Application engineering,Early career,Under 2 years,Yes
3bafbf53-5c56-3b2f-87cd-7b078b10e06d1784160000,true,Business Unit E,Sales,Individual Contributor,No,Data Engineering,Other job families,Senior / lead,Under 2 years,No
3c828a67-8a44-3a18-a2db-213948c73e011784160000,true,Business Unit B,Finance,Individual Contributor,No,Data Engineering,Engineering management,Senior / lead,Under 2 years,Yes
3e7f3808-bc28-36c7-8251-a028f5ff56441784160000,true,Business Unit C,Human Resources,Individual Contributor,No,Data Engineering,Application engineering,Senior / lead,2 to 5 years,Yes
3ec4aa61-73df-37f5-af33-ac50b24f1ab51784160000,true,Business Unit E,Operations,Manager,Yes,Payments,Application engineering,Experienced,2 to 5 years,Yes
3f3adad3-22df-3188-a572-bab43c8f02581784160000,true,Business Unit C,Legal,Manager,Yes,Payments,Application engineering,Early career,2 to 5 years,Yes
3fe600f0-c808-3676-90fe-909ea8b83ca61784160000,true,Business Unit D,Engineering,Individual Contributor,No,Payments,Engineering management,Experienced,Over 5 years,Yes
405d1fc6-26f4-35ed-a3bf-4604745a47921784160000,true,Business Unit C,Finance,Individual Contributor,No,Identity,Other job families,Senior / lead,2 to 5 years,No
41219c74-897b-3ca9-87e5-43da9041ddd31784160000,false,Business Unit D,Engineering,Senior Manager,Yes,Data Engineering,Infrastructure engineering,Early career,Over 5 years,Yes
41edb9fc-6706-3a1d-94c5-93335d9fc3171784160000,false,Business Unit D,Operations,Manager,Yes,Platform,Other job families,Early career,Under 2 years,No
423348ca-0838-3372-a616-b4cda04686661784160000,true,Business Unit C,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Experienced,2 to 5 years,Yes
4333cd5c-141e-38a1-af2a-a7df714feddb1784160000,true,Business Unit A,Engineering,Individual Contributor,No,Identity,Application engineering,Experienced,Over 5 years,Yes
434188a4-f9da-364f-a6dc-53072f0ec1b31784160000,true,Business Unit C,Engineering,Manager,Yes,Mobile,Application engineering,Experienced,Under 2 years,Yes
43538921-75c3-3004-917b-51c3d8e2a3a61784160000,true,Business Unit B,Engineering,Director,Yes,Data Engineering,Engineering management,Experienced,Under 2 years,Yes
43cc96db-6d25-3ad3-9163-10247bdd66bf1784160000,false,Business Unit E,Engineering,Manager,Yes,Mobile,Engineering management,Senior / lead,Under 2 years,Yes
45646b0b-1f90-30c9-a31e-8ff3ce71468c1784160000,true,Business Unit A,Human Resources,Individual Contributor,No,Developer Experience,Application engineering,Experienced,Over 5 years,Yes
458e61b5-010d-3520-8683-4ea9ccc7bf9a1784160000,true,Business Unit A,Operations,Individual Contributor,No,Payments,Application engineering,Early career,2 to 5 years,Yes
460c19ec-738f-33e2-84b8-3a300f8ee9891784160000,true,Business Unit A,Engineering,Individual Contributor,No,Data Engineering,Application engineering,Experienced,Over 5 years,Yes
460c21b1-3cfc-31cf-a50e-caa5dcdf949a1784160000,true,Business Unit D,Operations,Individual Contributor,No,Data Engineering,Infrastructure engineering,Experienced,Over 5 years,Yes
478397e7-2594-393d-861c-99bd6dbecb571784160000,false,Business Unit E,Engineering,Individual Contributor,No,Mobile,Application engineering,Experienced,2 to 5 years,Yes
48a891ca-8770-3a95-9414-af5bad034e5a1784160000,true,Business Unit C,Marketing,Individual Contributor,No,Identity,Application engineering,Early career,2 to 5 years,Yes
48d69815-2eb5-3bb9-a39b-cbe1ceb52e991784160000,false,Business Unit B,Product,Senior Manager,Yes,Identity,Application engineering,Senior / lead,2 to 5 years,Yes
49582a75-8ce1-36d5-ac0d-1a0588970a051784160000,false,Business Unit E,Product,Manager,Yes,Mobile,Other job families,Senior / lead,Under 2 years,No
4a7af055-4d5f-39bf-b0a0-3e957abd6b601784160000,true,Business Unit B,Engineering,Senior Manager,Yes,Identity,Application engineering,Experienced,Under 2 years,Yes
4b3616f0-ccf1-31e3-810e-f668c2042b231784160000,true,Business Unit E,Human Resources,Individual Contributor,No,Data Engineering,Infrastructure engineering,Experienced,Under 2 years,Yes
4b40a745-e9ad-334f-ab03-4ab6ccf8c4fb1784160000,true,Business Unit A,Engineering,Individual Contributor,No,Identity,Infrastructure engineering,Senior / lead,2 to 5 years,Yes
4c3cfc88-dcee-3be9-8489-e98fc50a00ec1784160000,true,Business Unit B,Product,Senior Manager,Yes,Payments,Other job families,Experienced,Over 5 years,No
4c8688bb-e063-39d5-af44-f884b8b1b22f1784160000,true,Business Unit D,Legal,Individual Contributor,No,Platform,Application engineering,Experienced,2 to 5 years,Yes
4c9d57d4-cc8e-3ffa-a7a2-954c71ef52351784160000,true,Business Unit B,Engineering,Senior Manager,Yes,Mobile,Application engineering,Senior / lead,Over 5 years,Yes
4ce8c773-9f58-3ba9-a031-38c10e963be01784160000,false,Business Unit E,Marketing,Individual Contributor,No,Identity,Other job families,Early career,2 to 5 years,No
4d226a71-65b8-36f4-a5fb-5d234ce302611784160000,true,Business Unit E,Engineering,Individual Contributor,No,Developer Experience,Engineering management,Experienced,Over 5 years,Yes
4d62a2a6-a8bb-3084-8568-8b0c0e6c53f91784160000,false,Business Unit A,Operations,Individual Contributor,No,Data Engineering,Application engineering,Experienced,2 to 5 years,Yes
4d843361-b5aa-3b6a-88aa-b89d091cd5231784160000,true,Business Unit C,Human Resources,Senior Manager,Yes,Developer Experience,Infrastructure engineering,Experienced,2 to 5 years,Yes
4d8e0306-9402-312c-8735-520e75542ddf1784160000,true,Business Unit A,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Experienced,2 to 5 years,Yes
4f2065c7-ece7-384a-a5f8-b1eda61e63311784160000,true,Business Unit E,Engineering,Individual Contributor,No,Data Engineering,Application engineering,Experienced,Under 2 years,Yes
4f45a048-3676-300c-bec6-94d1cbbbd2b51784160000,true,Business Unit E,Marketing,Individual Contributor,No,Platform,Other job families,Senior / lead,2 to 5 years,No
4f630062-21f6-3266-9acd-c0827dbf5c051784160000,true,Business Unit C,Product,Senior Manager,Yes,Platform,Infrastructure engineering,Early career,2 to 5 years,Yes
4fbbedf8-7ea9-3ba5-8a18-f658a4f216051784160000,false,Business Unit C,Engineering,Individual Contributor,No,Developer Experience,Application engineering,Senior / lead,Under 2 years,Yes
5060be3d-9bbb-3f4e-955c-625e4390c6b71784160000,true,Business Unit E,Engineering,Individual Contributor,No,Mobile,Application engineering,Senior / lead,Under 2 years,Yes
5088caa7-e6aa-3982-abb7-99c18a8d83231784160000,true,Business Unit D,Marketing,Senior Manager,Yes,Developer Experience,Other job families,Experienced,2 to 5 years,No
509c1fe7-94b1-311d-9fd0-979b350e4d611784160000,true,Business Unit E,Engineering,Individual Contributor,No,Platform,Application engineering,Senior / lead,Under 2 years,Yes
50be9c42-1c4b-3493-a07c-ffe59fd8491c1784160000,true,Business Unit B,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,2 to 5 years,Yes
5113b093-acec-3c38-870f-b61a2dd6b8801784160000,false,Business Unit D,Engineering,Senior Manager,Yes,Identity,Application engineering,Early career,Over 5 years,Yes
5114ffa9-76f5-3ba1-a764-aa44579d3aed1784160000,true,Business Unit E,Human Resources,Manager,Yes,Mobile,Application engineering,Experienced,2 to 5 years,Yes
516b26e5-e1f3-38f1-99e8-47092d13c38b1784160000,false,Business Unit E,Product,Individual Contributor,No,Data Engineering,Other job families,Experienced,2 to 5 years,No
52412506-0a36-3bbc-b4ff-9579aa41f9b11784160000,false,Business Unit E,Product,Individual Contributor,No,Mobile,Infrastructure engineering,Early career,Under 2 years,Yes
524da203-40d7-33a6-8ab6-b21a0cef3c581784160000,true,Business Unit E,Engineering,Individual Contributor,No,Platform,Engineering management,Senior / lead,Under 2 years,Yes
525519ab-5701-3792-8bdb-c46a264d9b631784160000,true,Business Unit B,Sales,Director,Yes,Developer Experience,Application engineering,Senior / lead,2 to 5 years,Yes
52640a3d-22e2-3399-b4f7-aeeb5f2845361784160000,true,Business Unit D,Engineering,Senior Manager,Yes,Developer Experience,Engineering management,Experienced,Under 2 years,Yes
5498a54c-7cf2-3cbb-85d5-1078aa3be4a71784160000,true,Business Unit B,Legal,Individual Contributor,No,Mobile,Application engineering,Senior / lead,2 to 5 years,Yes
54d1489e-b65c-3471-ae1a-b7f64a66433d1784160000,true,Business Unit A,Operations,Individual Contributor,No,Identity,Other job families,Early career,Under 2 years,No
54de7dbc-3f9b-3702-b677-fee85da6201d1784160000,true,Business Unit B,Sales,Individual Contributor,No,Data Engineering,Infrastructure engineering,Experienced,2 to 5 years,Yes
5502bf0e-0c7e-39c1-b3d5-9e22fb331f681784160000,false,Business Unit D,Finance,Individual Contributor,No,Mobile,Other job families,Experienced,2 to 5 years,No
553d9e1c-df1d-3dd9-b532-73327fee63311784160000,true,Business Unit C,Product,Manager,Yes,Mobile,Other job families,Early career,2 to 5 years,No
55ad8c29-20dc-320f-8c21-ac3dfd7685ea1784160000,true,Business Unit D,Engineering,Individual Contributor,No,Identity,Infrastructure engineering,Experienced,Over 5 years,Yes
55b0607e-f635-348a-bc83-f4e52515b7ec1784160000,true,Business Unit A,Engineering,Individual Contributor,No,Payments,Application engineering,Experienced,2 to 5 years,Yes
55c00e7a-6736-3176-83d1-85e14a9cc75f1784160000,true,Business Unit B,Sales,Individual Contributor,No,Mobile,Other job families,Early career,Under 2 years,No
5656dbc0-5497-3227-a829-fd8eb574450e1784160000,false,Business Unit B,Engineering,Manager,Yes,Payments,Infrastructure engineering,Experienced,Over 5 years,Yes
56ab4ff8-d4a1-314d-82eb-cc5055b8d77c1784160000,true,Business Unit B,Engineering,Individual Contributor,No,Payments,Infrastructure engineering,Early career,2 to 5 years,Yes
57437979-1053-38bc-8abf-3f9eba7ffc491784160000,true,Business Unit B,Engineering,Individual Contributor,No,Mobile,Application engineering,Early career,2 to 5 years,Yes
577fb2a5-642d-3f7e-8720-21da3c10d3d91784160000,false,Business Unit E,Engineering,Individual Contributor,No,Developer Experience,Application engineering,Early career,Under 2 years,Yes
57d3f142-33f4-308b-ae84-b183cc99db1b1784160000,false,Business Unit E,Operations,Individual Contributor,No,Payments,Application engineering,Senior / lead,Under 2 years,Yes
5802f313-39d3-3d07-a9ca-77928f6d44ae1784160000,false,Business Unit C,Finance,Manager,Yes,Data Engineering,Other job families,Early career,Under 2 years,No
585b3bc4-0239-3118-8043-fe70e5d509dc1784160000,true,Business Unit D,Sales,Individual Contributor,No,Identity,Application engineering,Senior / lead,Under 2 years,Yes
591e07f6-72df-366d-a512-d5ee900f7c151784160000,false,Business Unit D,Product,Individual Contributor,No,Mobile,Application engineering,Senior / lead,2 to 5 years,Yes
593674e0-66f0-370c-8acb-a2a3450eab9f1784160000,false,Business Unit E,Finance,Individual Contributor,No,Data Engineering,Other job families,Senior / lead,Over 5 years,No
59a3ba74-8a6d-3bac-b0c5-c986595ef8981784160000,true,Business Unit B,Finance,Individual Contributor,No,Data Engineering,Infrastructure engineering,Senior / lead,Under 2 years,Yes
5a3caea3-a6eb-3d9f-8553-ca013793121a1784160000,true,Business Unit D,Product,Individual Contributor,No,Identity,Application engineering,Early career,Under 2 years,Yes
5a91fc01-e54a-36cc-b759-44260109d8b81784160000,true,Business Unit D,Marketing,Individual Contributor,No,Identity,Infrastructure engineering,Early career,2 to 5 years,Yes
5a933c60-3604-38ba-b74f-0f100ff4a7f81784160000,false,Business Unit C,Product,Individual Contributor,No,Mobile,Other job families,Experienced,Under 2 years,No
5b4c7154-ad7e-3526-aa3c-45e89d71e7211784160000,true,Business Unit A,Engineering,Individual Contributor,No,Developer Experience,Application engineering,Early career,Under 2 years,Yes
5c89f8ab-20d5-3960-95cb-9f2927b4bb391784160000,true,Business Unit B,Sales,Manager,Yes,Payments,Other job families,Experienced,Over 5 years,No
5cb2e039-2dc8-3bad-9d23-4bfddc143afe1784160000,true,Business Unit C,Operations,Manager,Yes,Platform,Infrastructure engineering,Senior / lead,Under 2 years,Yes
5d21d7da-3e33-3ab4-99ef-3ca2c2ff2c691784160000,false,Business Unit A,Operations,Individual Contributor,No,Identity,Application engineering,Senior / lead,Under 2 years,Yes
5d6ffe35-085b-3fc0-abf7-9f02a5c4fb331784160000,false,Business Unit E,Legal,Manager,Yes,Mobile,Application engineering,Experienced,Under 2 years,Yes
5de859d5-b06b-3878-b7f0-64c4e91191df1784160000,true,Business Unit D,Engineering,Director,Yes,Mobile,Infrastructure engineering,Experienced,Over 5 years,Yes
