"PersonId","month_key","Internal_network_size","External_network_size","Strong_ties","Diverse_ties","Network_outside_organization"
"PID0090","2026-02",42,15,16,10,2
"PID0090","2026-03",47,12,16,8,1
"PID0090","2026-04",50,16,15,2,3
"PID0090","2026-05",33,12,14,2,4
"PID0090","2026-06",46,12,16,12,5
"PID0091","2026-01",45,15,13,11,3
"PID0091","2026-02",61,9,13,18,5
"PID0091","2026-03",39,16,13,5,0
"PID0091","2026-04",57,7,18,11,4
"PID0091","2026-05",49,5,18,6,4
"PID0091","2026-06",53,12,18,17,2
"PID0092","2026-01",55,12,15,17,4
"PID0092","2026-02",53,10,15,9,3
"PID0092","2026-03",50,12,15,11,5
"PID0092","2026-04",56,13,17,13,3
"PID0092","2026-05",58,10,17,11,3
"PID0092","2026-06",53,17,18,12,4
"PID0093","2026-01",71,13,20,12,7
"PID0093","2026-02",61,7,22,15,7
"PID0093","2026-03",63,11,28,15,4
"PID0093","2026-04",66,12,22,10,4
"PID0093","2026-05",71,9,27,13,4
"PID0093","2026-06",64,15,19,11,3
"PID0094","2026-01",66,17,25,14,4
"PID0094","2026-02",39,10,13,10,4
"PID0094","2026-03",63,6,19,9,3
"PID0094","2026-04",69,13,22,14,5
"PID0094","2026-05",52,18,23,8,4
"PID0094","2026-06",75,15,25,16,5
"PID0095","2026-01",50,14,20,8,3
"PID0095","2026-02",29,15,11,3,4
"PID0095","2026-03",47,13,12,4,2
"PID0095","2026-04",59,14,23,10,3
"PID0095","2026-05",46,11,14,15,5
"PID0095","2026-06",52,9,13,12,4
"PID0096","2026-01",50,4,16,6,2
"PID0096","2026-02",54,9,19,13,3
"PID0096","2026-03",45,16,18,5,2
"PID0096","2026-04",62,10,22,13,2
"PID0096","2026-05",51,7,17,14,4
"PID0096","2026-06",54,15,14,10,4
"PID0097","2026-01",54,19,14,13,2
"PID0097","2026-02",54,17,16,12,0
"PID0097","2026-03",63,13,22,15,2
"PID0097","2026-04",51,11,16,13,1
"PID0097","2026-05",57,19,21,11,4
"PID0097","2026-06",76,13,28,15,2
"PID0098","2026-01",37,13,6,3,2
"PID0098","2026-02",61,11,18,14,1
"PID0098","2026-03",50,16,19,9,3
"PID0098","2026-04",55,16,21,18,0
"PID0098","2026-05",44,7,9,12,3
"PID0098","2026-06",56,16,20,9,2
"PID0099","2026-01",70,16,24,12,2
"PID0099","2026-02",62,14,26,13,6
"PID0099","2026-03",57,11,18,12,6
"PID0099","2026-04",46,21,17,7,4
"PID0099","2026-05",54,9,15,8,5
"PID0099","2026-06",57,12,25,11,4
"PID0100","2026-01",47,11,17,10,1
"PID0100","2026-02",40,6,18,14,4
"PID0100","2026-03",32,16,11,5,4
"PID0100","2026-04",64,10,23,12,3
"PID0100","2026-05",69,10,21,13,3
"PID0100","2026-06",65,12,24,16,3
"PID0101","2026-01",52,15,17,12,4
"PID0101","2026-02",50,12,14,9,6
"PID0101","2026-03",52,15,15,16,6
"PID0101","2026-04",58,11,17,11,4
"PID0101","2026-05",65,10,24,17,7
"PID0101","2026-06",49,10,19,15,5
"PID0102","2026-01",44,16,20,11,5
"PID0102","2026-02",65,13,20,13,0
"PID0102","2026-03",60,14,23,15,4
"PID0102","2026-04",49,16,19,11,5
"PID0102","2026-05",56,17,21,15,5
"PID0102","2026-06",49,10,14,12,5
"PID0103","2026-01",52,10,22,12,4
"PID0103","2026-02",60,15,24,8,6
"PID0103","2026-03",80,10,24,20,5
"PID0103","2026-04",70,8,28,19,3
"PID0103","2026-05",72,12,25,14,7
"PID0103","2026-06",60,4,21,14,5
"PID0104","2026-01",60,7,19,12,4
"PID0104","2026-02",54,13,22,11,5
"PID0104","2026-03",51,6,22,6,4
"PID0104","2026-04",52,8,16,16,4
"PID0104","2026-05",39,8,16,5,6
"PID0104","2026-06",50,10,22,13,4
"PID0105","2026-01",42,15,18,5,6
"PID0105","2026-02",57,7,19,11,4
"PID0105","2026-03",61,8,20,17,2
"PID0105","2026-04",65,12,20,13,4
"PID0105","2026-05",56,4,17,11,3
"PID0105","2026-06",51,15,21,4,5
"PID0106","2026-01",55,10,19,9,4
"PID0106","2026-02",46,3,19,9,6
"PID0106","2026-03",63,13,23,14,5
"PID0106","2026-04",47,11,11,10,5
"PID0106","2026-05",65,14,24,18,5
"PID0106","2026-06",47,13,14,9,3
"PID0107","2026-01",43,12,18,12,5
"PID0107","2026-02",61,13,21,11,2
"PID0107","2026-03",65,12,23,16,3
"PID0107","2026-04",72,9,26,17,5
"PID0107","2026-05",47,10,19,15,2
"PID0107","2026-06",56,13,22,11,1
"PID0108","2026-01",46,14,15,10,3
"PID0108","2026-02",58,13,24,7,3
"PID0108","2026-03",41,10,19,8,6
"PID0108","2026-04",44,12,15,7,3
"PID0108","2026-05",62,10,24,10,4
"PID0108","2026-06",38,8,11,6,3
"PID0109","2026-01",41,10,12,8,3
"PID0109","2026-02",54,9,20,17,2
"PID0109","2026-03",45,4,19,15,4
"PID0109","2026-04",33,2,9,7,4
"PID0109","2026-05",44,5,20,7,4
"PID0109","2026-06",40,10,16,9,2
"PID0110","2026-01",69,14,22,18,7
"PID0110","2026-02",71,14,22,18,6
"PID0110","2026-03",56,15,18,11,7
"PID0110","2026-04",88,17,29,18,4
"PID0110","2026-05",76,18,24,20,4
"PID0110","2026-06",66,7,25,18,6
"PID0111","2026-01",41,16,14,8,1
"PID0111","2026-02",58,20,14,11,3
