"PersonId","MetricDate","Meeting_hours","Scheduled_call_hours","Collaboration_hours","Available_to_focus_hours","Uninterrupted_hours","Interrupted_hours","Open_1_hour_block","Recurring_meeting_hours","Conflicting_meeting_hours","Meeting_hours_with_six_or_fewer_hours_of_advanced_notice","After_hours_collaboration_hours"
"SYN00001",2026-05-17,2.115,1.119,6.045,36.766,18.048,18.718,20,1.317,0.082,0.434,5.739
"SYN00001",2026-05-24,2.232,1.526,5.309,36.242,17.705,18.537,21,1.417,0.019,0.386,4.92
"SYN00001",2026-05-31,1.511,1.177,4.766,37.312,14.773,22.539,22,0.769,0.116,0.065,5.985
"SYN00001",2026-06-07,3.104,0.4,6.279,36.496,19.34,17.156,15,1.601,0.323,0.266,5.177
"SYN00001",2026-06-14,3.834,1.08,6.996,35.086,16.629,18.457,19,1.206,0.206,0.552,5.167
"SYN00001",2026-06-21,2.319,0.25,6.274,37.431,14.985,22.446,21,1.275,0.178,0.134,6.434
"SYN00001",2026-06-28,2.794,1.168,5.777,36.038,15.616,20.422,17,1.887,0.247,0.292,5.171
"SYN00002",2026-01-04,11.959,1.291,17.633,26.75,9.363,17.387,16,8.889,2.732,2.904,6.322
"SYN00002",2026-01-11,11.754,1.613,19.71,26.633,7.858,18.775,15,7.036,2.498,2.39,6.16
"SYN00002",2026-01-18,12.369,1.526,19.983,26.105,10.446,15.659,16,7.749,2.053,2.976,5.811
"SYN00002",2026-01-25,11.145,2.091,17.67,26.764,8.973,17.791,16,7.398,3.207,3.287,6.912
"SYN00002",2026-02-01,11.333,1.869,17.079,26.798,6.44,20.358,14,8.192,1.692,2.686,6.34
"SYN00002",2026-02-08,12.82,1.785,20.617,25.394,6.829,18.566,16,8.745,2.368,3.625,6.349
"SYN00002",2026-02-15,10.18,1.871,16.3,27.95,8.382,19.567,15,6.189,1.774,1.864,5.836
"SYN00002",2026-02-22,10.63,0.913,15.606,28.458,3.737,24.721,16,4.882,2.914,3.661,6.689
"SYN00002",2026-03-01,11.419,0.963,17.365,27.618,10.681,16.937,13,7.227,1.731,3.571,6.406
"SYN00002",2026-03-08,14.31,1.075,23.744,24.615,7.846,16.769,15,10.018,2.075,4.066,6.219
"SYN00002",2026-03-15,12.258,1.06,20.224,26.682,6.599,20.083,14,5.652,1.871,2.608,5.209
"SYN00002",2026-03-22,11.834,1.123,19.533,27.043,6.836,20.207,14,6.403,1.85,3.075,4.975
"SYN00002",2026-03-29,9.426,1.018,14.993,29.556,10.413,19.143,16,4.235,1.193,1.726,6.37
"SYN00002",2026-04-05,11.825,2.187,18.582,25.989,5.461,20.527,15,8.619,2.792,3.987,4.909
"SYN00002",2026-04-12,9.424,1.942,18.825,28.634,11.201,17.433,17,4.305,1.485,2.725,5.379
"SYN00002",2026-04-19,9.993,1.188,16.952,28.819,10.786,18.034,19,7.081,2.509,1.958,6.131
"SYN00002",2026-04-26,12.562,0.709,17.891,26.729,8.691,18.037,15,8.367,3.102,2.674,6.124
"SYN00002",2026-05-03,10.739,1.751,18.769,27.51,8.592,18.918,19,6.901,1.508,2.428,5.52
"SYN00002",2026-05-10,12.384,1.906,18.935,25.71,6.874,18.836,15,6.425,1.921,3.422,5.543
"SYN00002",2026-05-17,12.124,0.746,19.024,27.13,8.214,18.915,16,9.317,3.245,1.827,6.612
"SYN00002",2026-05-24,10.034,1.138,18.117,28.828,8.67,20.158,17,7.412,1.598,2.406,5.81
"SYN00002",2026-05-31,9.961,2.081,16.453,27.958,10.096,17.862,13,4.753,2.436,2.997,5.929
"SYN00002",2026-06-07,11.594,1.283,18.534,27.123,9.093,18.03,15,5.087,2.853,1.949,6.604
"SYN00002",2026-06-14,11.226,2.076,18.37,26.698,11.959,14.739,13,4.898,1.655,2.3,7.272
"SYN00002",2026-06-21,10.731,0.841,17.157,28.428,8.67,19.758,15,4.633,1.998,3.244,5.008
"SYN00002",2026-06-28,12.935,0.783,18.176,26.282,6.266,20.016,11,7.858,3.572,3.139,5.683
"SYN00003",2026-01-04,0.5,1.095,5.983,38.405,13.357,25.048,19,0.173,0.078,0.06,1.736
"SYN00003",2026-01-11,0.5,0.397,2.484,39.103,15.679,23.424,18,0.332,0,0.048,0
"SYN00003",2026-01-18,3.002,0.81,6.617,36.188,12.548,23.64,23,1.958,0.244,0.267,0.306
"SYN00003",2026-01-25,3.394,0.25,5.309,36.356,12.615,23.741,17,1.491,0.51,0.109,0.352
"SYN00003",2026-02-01,2.807,1.444,5.144,35.749,14.02,21.729,23,1.113,0.251,0.575,0.13
"SYN00003",2026-02-08,1.783,1.019,5.107,37.199,17.085,20.114,19,0.763,0.258,0.307,0
"SYN00003",2026-02-15,4.798,1.17,7.803,34.032,17.227,16.805,17,2.095,0.573,0.093,0.172
"SYN00003",2026-02-22,3.13,0.505,6.061,36.365,15.645,20.72,19,1.117,0.029,0.328,0.561
"SYN00003",2026-03-01,4.199,0.253,7.058,35.548,14.923,20.625,19,1.4,0.041,0.71,0.078
"SYN00003",2026-03-08,2.784,1.323,7.608,35.893,13.8,22.093,20,1.809,0.311,0.566,0
"SYN00003",2026-03-15,3.211,1.37,7.559,35.418,10.99,24.429,17,1.301,0.091,0.131,0
"SYN00003",2026-03-22,2.696,1.214,6.242,36.091,14.678,21.413,20,1.348,0.423,0.549,2.457
"SYN00003",2026-03-29,4.122,1.083,7.39,34.795,16.669,18.126,21,1.957,0.325,0.153,0.756
"SYN00003",2026-04-05,0.632,0.392,3.85,38.976,15.1,23.876,24,0.355,0.084,0.112,0.635
"SYN00003",2026-04-12,0.927,0.25,3.305,38.823,18.563,20.26,22,0.346,0.096,0.174,0
"SYN00003",2026-04-19,0.966,0.25,2.707,38.784,14.637,24.147,21,0.491,0.049,0.109,1.146
"SYN00003",2026-04-26,2.295,1.542,5.659,36.163,15.165,20.998,26,1.112,0.117,0.256,0
"SYN00003",2026-05-03,1.187,1.082,3.618,37.73,15.52,22.21,19,0.542,0.046,0.174,0
"SYN00003",2026-05-10,0.5,0.328,2.826,39.172,13.055,26.118,25,0.25,0.049,0.064,0
"SYN00003",2026-05-17,1.576,0.563,4.283,37.861,15.564,22.297,23,0.996,0.06,0.016,0.221
"SYN00003",2026-05-24,4.252,0.575,8.333,35.174,14.244,20.93,17,1.677,0.618,0.494,0
"SYN00003",2026-05-31,3.8,0.25,5.558,35.95,13.617,22.333,22,1.528,0.547,0.383,0
"SYN00003",2026-06-07,4.275,0.25,6.83,35.475,14.752,20.723,20,2.706,0.355,0.431,0.032
"SYN00003",2026-06-14,1.708,1.59,6.005,36.702,17.646,19.056,22,1.146,0.18,0.311,1.115
"SYN00003",2026-06-21,0.543,0.659,4.877,38.798,13.168,25.63,21,0.363,0.074,0.059,0
"SYN00003",2026-06-28,4.55,0.441,6.292,35.009,16.38,18.629,16,2.003,0.509,0.133,0.982
"SYN00004",2026-01-04,10.506,1.556,18.03,27.937,6.794,21.144,11,5.423,1.077,2.046,1.567
"SYN00004",2026-01-11,11.815,2.322,21.812,25.863,4.913,20.95,13,6.426,1.555,2.361,0.982
"SYN00004",2026-01-18,11.371,1.324,19.443,27.305,7.89,19.415,18,8.627,0.941,2.519,2.019
"SYN00004",2026-01-25,12.424,2.415,22.006,25.161,5.291,19.869,15,8.433,1.544,1.754,1.415
"SYN00004",2026-02-01,11.806,1.403,18.576,26.791,7.731,19.06,16,5.952,1.883,0.771,1.198
"SYN00004",2026-02-08,12.272,2.003,22.548,25.725,5.24,20.485,18,7.819,2.423,0.634,1.755
"SYN00004",2026-02-15,9.785,1.258,18.078,28.957,9.433,19.524,16,7.998,0.866,2.252,1.596
"SYN00004",2026-02-22,10.088,1.972,17.922,27.94,8.431,19.509,13,5.634,1.875,1.761,1.872
"SYN00004",2026-03-01,9.214,1.715,17.658,29.07,6.872,22.199,16,7.513,0.954,1.747,1.498
"SYN00004",2026-03-08,13.876,1.755,22.173,24.369,4.503,19.866,13,10.909,1.801,1.414,1.318
"SYN00004",2026-03-15,10.143,2.066,17.237,27.791,1.133,26.658,16,7.422,1.971,2.212,1.512
"SYN00004",2026-03-22,9.236,1.103,17.061,29.662,5.308,24.354,18,4.452,1.788,2.245,1.999
"SYN00004",2026-03-29,9.57,2.571,17.749,27.858,6.78,21.078,18,6.167,0.569,0.534,2.06
"SYN00004",2026-04-05,14.073,1.574,21.951,24.353,1.744,22.609,15,8.198,2.559,2.522,1.39
"SYN00004",2026-04-12,8.971,2.515,17.328,28.514,6.826,21.688,19,6.119,0.883,1.281,2.251
"SYN00004",2026-04-19,9.984,1.174,17.273,28.842,4.296,24.546,15,6.268,1.404,1.182,0.74
"SYN00004",2026-04-26,8.879,2.168,17.67,28.953,7.735,21.218,17,5.637,1.614,2.08,0.787
"SYN00004",2026-05-03,12.255,2.526,21.194,25.219,5.742,19.476,15,6.834,1.938,2.982,1.301
"SYN00004",2026-05-10,11.522,2.476,19.791,26.002,3.43,22.572,13,5.553,0.85,2.156,1.187
"SYN00004",2026-05-17,6.596,1.125,14.508,32.28,4.711,27.569,21,5.053,1.008,1.561,0.243
"SYN00004",2026-05-24,10.123,1.558,17.784,28.319,4.534,23.785,15,4.874,0.711,1.044,1.483
"SYN00004",2026-05-31,8.943,2.199,17.21,28.858,6.248,22.611,15,6.176,0.789,1.545,1.55
"SYN00004",2026-06-07,10.037,1.802,18.906,28.161,8.57,19.591,19,6.285,1.574,1.324,2.409
"SYN00004",2026-06-14,8.986,1.418,19.47,29.597,6.469,23.127,14,5.74,0.929,1.013,2.379
"SYN00004",2026-06-21,10.498,1.109,17.212,28.393,7.264,21.129,14,5.532,1.59,2.532,1.932
"SYN00004",2026-06-28,10.695,1.595,18.369,27.711,8.217,19.493,18,5.286,0.534,1.114,1.928
"SYN00005",2026-01-04,7.249,0.916,10.802,31.835,16.494,15.341,18,4.215,1.001,1.417,0
"SYN00005",2026-01-11,4.204,1.77,11.893,34.026,17.01,17.016,22,2.729,0.662,0.774,1.045
"SYN00005",2026-01-18,5.609,0.606,10.197,33.785,14.747,19.038,20,1.95,0.716,0.762,0.82
"SYN00005",2026-01-25,5.909,1.41,10.868,32.681,17.012,15.669,18,3.945,0.769,0.737,1.627
"SYN00005",2026-02-01,9.49,1.745,14.796,28.765,14.342,14.423,17,6.416,1.144,1.693,0.45
"SYN00005",2026-02-08,6.17,0.998,10.322,32.832,13.135,19.697,17,2.227,0.62,0.424,0.352
"SYN00005",2026-02-15,4.251,0.459,8.402,35.29,15.045,20.245,22,2.526,0.298,0.775,0.302
"SYN00005",2026-02-22,6.913,0.764,11.341,32.323,13.312,19.012,14,3.611,0.271,0.852,0
"SYN00005",2026-03-01,4.295,1.741,10.411,33.964,14.812,19.152,19,2.135,0.411,0.87,0.344
"SYN00005",2026-03-08,6.916,1.849,11.239,31.235,17.747,13.488,17,4.422,0.626,0.862,0.397
"SYN00005",2026-03-15,7.854,0.701,11.633,31.445,15.264,16.18,16,2.646,0.562,0.554,0.801
"SYN00005",2026-03-22,6.15,1.712,10.975,32.138,12.633,19.505,14,3.06,0.929,0.474,0
"SYN00005",2026-03-29,6.927,1.147,10.854,31.926,13.442,18.484,18,4.376,0.204,0.905,1.311
"SYN00005",2026-04-05,5.831,1.414,10.437,32.755,12.458,20.297,18,2.259,0.964,0.491,0
"SYN00005",2026-04-12,6.408,1.653,11.068,31.939,16.719,15.22,18,3.462,0.932,0.578,0.195
"SYN00005",2026-04-19,8.363,1.721,14.155,29.916,15.42,14.496,16,4.416,1.094,0.293,0.16
"SYN00005",2026-04-26,4.036,1.499,8.671,34.465,14.984,19.481,24,2.641,0.172,0.331,0.85
"SYN00005",2026-05-03,7.451,1.296,11.61,31.254,13.316,17.937,16,4.704,1.165,1.399,0.148
"SYN00005",2026-05-10,2.794,1.061,4.964,36.145,16.5,19.645,21,1.127,0.421,0.094,0.39
"SYN00005",2026-05-17,7.656,1.076,11.981,31.268,14.409,16.858,16,2.675,0.509,0.765,0.129
"SYN00005",2026-05-24,5.524,1.102,8.627,33.373,16.31,17.064,19,3.274,0.71,0.378,0.233
"SYN00005",2026-05-31,6.464,1.61,11.236,31.926,12.606,19.32,21,2.312,0.5,0.193,0
"SYN00005",2026-06-07,1.075,1.259,4.73,37.665,16.641,21.025,21,0.399,0.076,0.208,0
"SYN00005",2026-06-14,6.106,0.931,10.33,32.963,13.848,19.115,17,2.432,0.768,0.888,0.232
"SYN00005",2026-06-21,6.161,0.797,10.106,33.042,15.81,17.232,17,2.952,1.011,1.342,0.431
"SYN00005",2026-06-28,5.84,1.758,10.39,32.402,17.415,14.987,19,2.221,0.78,0.359,0
"SYN00006",2026-01-04,13.983,1.204,21.625,24.813,3.421,21.392,15,11.561,2.265,1.339,5.686
"SYN00006",2026-01-11,13.187,1.863,22.038,24.95,0,24.95,19,8.704,0.692,2.126,6.053
"SYN00006",2026-01-18,17.234,1.496,24.752,21.27,0,21.27,14,9.635,3.133,1.323,5.33
"SYN00006",2026-01-25,12.558,1.886,20.178,25.555,3.148,22.408,17,7.087,1.487,1.903,4.373
"SYN00006",2026-02-01,12.343,1.427,20.059,26.229,2.893,23.337,13,6.751,1.899,1.488,4.942
"SYN00006",2026-02-08,15.47,1.157,22.565,23.373,2.26,21.113,11,8.159,3.228,3.636,5.439
"SYN00006",2026-02-15,14.374,1.527,21.199,24.099,5.992,18.107,14,10.079,1.21,1.075,6.122
"SYN00006",2026-02-22,13.873,2.243,22.115,23.884,3.763,20.121,14,7.165,1.508,2.67,6.643
"SYN00006",2026-03-01,16.653,2.491,26.965,20.856,1.076,19.781,16,12.161,3.17,0.853,5.205
"SYN00006",2026-03-08,15.442,1.832,24.152,22.726,0.812,21.913,14,7.572,2.03,1.999,4.872
"SYN00006",2026-03-15,14.45,1.669,24.419,23.881,2.061,21.819,12,7.571,2.772,1.252,5.687
"SYN00006",2026-03-22,15.755,1.868,23.188,22.377,3.712,18.665,13,11.929,1.894,3.546,3.996
"SYN00006",2026-03-29,13.998,1.963,23.12,24.039,2.252,21.787,16,9.502,2.603,3.366,5.427
"SYN00006",2026-04-05,15.663,1.818,23.788,22.519,4.453,18.065,15,9.746,1.466,1.014,4.885
"SYN00006",2026-04-12,13.299,1.228,23.44,25.473,1.602,23.872,13,11.135,1.503,1.738,5.253
"SYN00006",2026-04-19,12.709,1.739,22.103,25.552,5.305,20.248,14,8.175,1.348,0.716,5.818
"SYN00006",2026-04-26,15.308,2.494,25.336,22.198,2.01,20.187,12,8.742,2.839,1.378,5.137
"SYN00006",2026-05-03,12.09,1.778,21.378,26.132,5.349,20.783,14,6.866,1.986,0.74,5.167
"SYN00006",2026-05-10,13.872,1.2,22.096,24.928,1.539,23.389,15,7.389,0.64,3.409,5.11
"SYN00006",2026-05-17,15.421,2.205,23.368,22.375,0.728,21.646,14,7.369,1.014,0.861,4.609
"SYN00006",2026-05-24,14.188,1.785,21.928,24.027,1.838,22.189,12,6.548,1.664,2.875,5.918
"SYN00006",2026-05-31,12.353,2.2,21.363,25.448,2.935,22.512,14,6.155,2.373,1.039,4.456
"SYN00006",2026-06-07,14.238,1.18,21.797,24.582,3.588,20.994,16,7.834,2.452,2.35,3.827
"SYN00006",2026-06-14,14.207,1.472,22.066,24.321,0.78,23.54,14,11.022,2.745,1.167,5.622
"SYN00006",2026-06-21,15.015,2.36,24.183,22.624,1.951,20.673,8,12.209,1.134,2.954,5.588
"SYN00006",2026-06-28,14.866,1.523,22.379,23.611,2.742,20.869,16,9.752,1.487,0.872,5.511
"SYN00007",2026-01-04,3.729,0.991,7.873,35.28,13.103,22.177,19,1.391,0.353,0.354,0.807
"SYN00007",2026-01-11,4.984,1.73,10.525,33.287,10.904,22.383,19,2.353,0.753,0.558,1.868
"SYN00007",2026-01-18,3.888,1.758,9.535,34.354,15.064,19.29,18,2.711,0.223,0.489,0.387
"SYN00007",2026-01-25,4.551,1.774,9.195,33.675,11.455,22.22,23,3.295,0.578,1.001,1.276
"SYN00007",2026-02-01,6.14,1.593,10.746,32.267,7.858,24.409,18,3.46,0.875,0.293,1.311
"SYN00007",2026-02-08,6.979,0.557,10.237,32.464,9.528,22.936,19,2.882,0.827,1.021,0.464
"SYN00007",2026-02-15,3.774,1.581,9.454,34.645,14.298,20.347,20,1.6,0.15,0.418,1.068
"SYN00007",2026-02-22,3.395,1.168,8.519,35.437,10.814,24.622,19,1.721,0.257,0.699,0.027
"SYN00007",2026-03-01,6.438,1.854,11.548,31.708,7.86,23.848,18,4.327,0.097,1.462,0.377
"SYN00007",2026-03-08,4.294,0.735,8.011,34.971,11.716,23.255,22,2.619,0.73,0.704,1.259
"SYN00007",2026-03-15,4.412,1.116,8.204,34.473,12.578,21.895,21,2.413,0.058,0.812,0.609
"SYN00007",2026-03-22,2.262,1.312,6.079,36.426,12.941,23.486,20,1.364,0.177,0.266,0.602
"SYN00007",2026-03-29,7.026,1.198,10.386,31.775,9.185,22.59,16,4.173,1.154,1.49,0
"SYN00007",2026-04-05,5.561,1.212,11.997,33.227,9.767,23.46,19,3.38,0.558,0.647,0
"SYN00007",2026-04-12,3.044,1.614,7.468,35.341,10.769,24.572,18,2.268,0.27,0.212,1.349
"SYN00007",2026-04-19,3.919,0.505,8.073,35.577,13.464,22.112,17,1.414,0.207,0.811,0.919
"SYN00007",2026-04-26,7.282,1.406,11.516,31.311,10.562,20.75,17,4.394,0.298,0.443,1.215
"SYN00007",2026-05-03,5.994,1.796,11.119,32.21,10.699,21.511,21,2.644,0.691,0.697,1.584
"SYN00007",2026-05-10,3.581,1.902,9.44,34.517,10.909,23.608,21,1.993,0.115,0.537,1.438
"SYN00007",2026-05-17,6.186,1.701,11.861,32.113,11.85,20.263,17,4.526,1.103,1.126,1.209
"SYN00007",2026-05-24,4.642,0.925,8.213,34.433,14.384,20.05,22,2.356,0.436,0.566,0
"SYN00007",2026-05-31,2.135,0.551,5.44,37.314,11.319,25.995,26,1.411,0.124,0.272,1.221
"SYN00007",2026-06-07,5.756,1.502,9.367,32.741,12.7,20.041,17,4.06,0.909,0.384,0.741
"SYN00007",2026-06-14,4.544,1.781,9.964,33.675,11.504,22.171,17,3.301,0.816,0.486,1.295
"SYN00007",2026-06-21,3.561,1.3,7.53,35.139,11.622,23.516,22,1.809,0.517,0.112,0
"SYN00007",2026-06-28,3.293,1.103,6.746,35.604,10.604,25,22,2.275,0.534,0.561,1.196
"SYN00008",2026-01-04,10.75,1.791,18.439,27.459,9.008,18.451,11,7.19,1.444,2.196,0.77
"SYN00008",2026-01-11,12.547,1.204,18.761,26.249,10.063,16.186,17,9.594,0.837,1.225,0.128
"SYN00008",2026-01-18,13.957,2.581,24.172,23.461,5.984,17.478,13,11.523,2.136,1.183,0.867
"SYN00008",2026-01-25,8.954,1.658,16.823,29.387,12.386,17.002,17,6.754,1.155,1.714,0.684
"SYN00008",2026-02-01,13.754,2.37,22.549,23.876,4.848,19.028,15,7.859,0.929,2.167,0.771
"SYN00008",2026-02-08,10.657,1.228,17.339,28.115,10.72,17.395,16,8.892,1.534,1.053,0.574
"SYN00008",2026-02-15,13.104,1.11,19.591,25.786,10.698,15.088,13,8.77,1.417,2.939,0.41
"SYN00008",2026-02-22,10.403,1.812,18.091,27.785,9.656,18.129,14,8.163,0.474,0.846,0
"SYN00008",2026-03-01,12.192,1.461,19.549,26.346,8.988,17.358,15,7.894,0.993,1.373,1.081
"SYN00008",2026-03-08,13.985,1.792,21.581,24.223,7.85,16.373,16,10.068,0.595,1,0.899
"SYN00008",2026-03-15,15.334,2.464,25.999,22.202,5.272,16.93,12,9.766,2.709,0.824,0.691
"SYN00008",2026-03-22,11.732,1.144,17.978,27.124,11.516,15.608,13,8.013,1.482,1.754,0.936
"SYN00008",2026-03-29,10.916,2.394,19.379,26.69,8.762,17.928,14,6.605,1.547,0.81,0.127
"SYN00008",2026-04-05,12.108,1.735,18.764,26.157,7.174,18.983,17,5.626,0.62,2.02,0.095
"SYN00008",2026-04-12,11.055,1.418,18.298,27.527,7.049,20.478,16,6.633,2.111,0.739,1.387
"SYN00008",2026-04-19,12.044,1.999,19.684,25.957,5.823,20.134,14,9.835,0.761,0.796,0.537
"SYN00008",2026-04-26,9.271,1.401,17.244,29.328,10.032,19.295,17,6.804,1.198,1.54,0.816
"SYN00008",2026-05-03,10.762,2.56,21.581,26.678,8.49,18.188,18,8.533,1.661,1.326,0.602
"SYN00008",2026-05-10,11.548,2.032,20.115,26.42,5.588,20.833,18,8.741,1.774,0.699,1.907
"SYN00008",2026-05-17,10.382,2.391,18.985,27.227,9.027,18.2,13,5.306,1.775,1.684,1.005
"SYN00008",2026-05-24,10.176,2.431,19.058,27.392,9.601,17.791,16,7.185,1.004,1.857,0.653
"SYN00008",2026-05-31,14.449,1.343,22.432,24.208,4.159,20.05,15,6.885,1.81,2.123,0.166
"SYN00008",2026-06-07,9.818,2.16,21.123,28.022,8.768,19.254,15,7.111,1.616,1.045,1.966
"SYN00008",2026-06-14,13.043,1.867,21.311,25.089,6.411,18.679,16,8.76,2.114,2.159,0.868
"SYN00008",2026-06-21,9.952,2.545,18.184,27.503,8.183,19.32,14,5.462,0.61,2.261,0.131
"SYN00008",2026-06-28,12.452,1.439,21.719,26.11,11.111,14.999,15,8.993,2,2.252,0.585
"SYN00009",2026-01-04,9.848,1.82,17.066,28.332,5.734,22.598,17,6.066,1.811,1.607,1.324
"SYN00009",2026-01-11,16.147,2,25.631,21.853,1.493,20.36,13,9.765,3.372,2.178,1.292
"SYN00009",2026-01-18,11.448,1.915,19.762,26.637,3.939,22.698,11,8.968,1.305,1.416,3.8
"SYN00009",2026-01-25,12.871,1.442,20.211,25.688,5.642,20.045,13,9.423,2.331,1.948,1.594
"SYN00009",2026-02-01,12.687,2.259,21.904,25.054,3.969,21.084,14,9.665,1.208,2.542,1.699
"SYN00009",2026-02-08,15.978,2.167,24.568,21.854,1.867,19.988,17,11.075,2.17,1.196,2.111
"SYN00009",2026-02-15,12.963,1.76,22.807,25.276,5.458,19.818,14,6.048,2.285,2.889,0.575
"SYN00009",2026-02-22,12.418,2.584,20.4,24.998,4.254,20.744,14,6.575,0.913,1.337,1.352
"SYN00009",2026-03-01,16.67,2.217,26.009,21.113,0.019,21.095,14,12.619,3.261,1.141,0.385
"SYN00009",2026-03-08,14.981,1.299,23.804,23.72,3.993,19.727,11,8.127,0.878,1.716,2.062
"SYN00009",2026-03-15,10.173,2.421,19.893,27.406,4.931,22.476,16,6.722,0.842,2.301,1.045
"SYN00009",2026-03-22,12.338,2.53,21.178,25.131,1.622,23.509,14,10.007,1.879,2.909,1.08
"SYN00009",2026-03-29,13.137,2.415,22.11,24.448,6.594,17.854,18,7.272,2.082,2.612,1.291
"SYN00009",2026-04-05,9.959,1.828,17.978,28.213,4.735,23.478,15,4.925,1.594,0.96,0.258
"SYN00009",2026-04-12,14.936,2.243,23.518,22.821,6.565,16.256,11,7.589,0.87,2.652,1.024
"SYN00009",2026-04-19,11.411,2.473,21.938,26.115,1.769,24.346,14,7.35,1.776,0.969,1.209
"SYN00009",2026-04-26,14.52,1.912,24.354,23.568,1.777,21.791,13,10.953,2.496,3.554,1.716
"SYN00009",2026-05-03,12.446,1.765,21.717,25.789,5.334,20.455,20,10.259,1.368,1.307,2.251
"SYN00009",2026-05-10,9.903,1.145,16.462,28.952,4.569,24.383,18,7.511,1.254,1.709,0.783
"SYN00009",2026-05-17,14.149,1.905,22.62,23.946,2.805,21.141,14,8.517,2.709,3.485,1.81
"SYN00009",2026-05-24,10.334,1.925,20.771,27.741,5.839,21.901,12,4.742,0.436,1.062,1.151
"SYN00009",2026-05-31,11.165,1.942,21.159,26.893,2.237,24.656,17,5.213,2.311,2.629,1.237
"SYN00009",2026-06-07,11.932,1.955,19.745,26.113,3.176,22.937,14,8.674,0.664,0.671,1.756
"SYN00009",2026-06-14,10.687,1.847,18.629,27.467,3.368,24.099,19,5.872,0.966,2.568,1.153
"SYN00009",2026-06-21,11.366,1.216,19.127,27.418,6.408,21.01,14,6.657,2.193,2.677,0.968
"SYN00009",2026-06-28,10.487,1.691,19.373,27.822,3.893,23.929,17,6.335,0.92,1.763,1.121
"SYN00010",2026-01-04,10.43,1.07,15.159,28.499,12.408,16.091,13,5.678,1.576,0.315,2
"SYN00010",2026-01-11,11.014,0.899,17.441,28.088,10.047,18.041,17,8.124,0.272,2.321,2.502
"SYN00010",2026-01-18,6.758,1.864,11.648,31.378,13.456,17.922,19,2.676,0.591,0.637,1.941
"SYN00010",2026-01-25,11.561,1.481,17.512,26.958,8.304,18.654,14,4.362,1.073,1.362,0.787
"SYN00010",2026-02-01,11.057,1.816,16.111,27.127,12.348,14.779,14,6.002,0.812,1.833,2.144
"SYN00010",2026-02-08,9.693,0.575,15.094,29.732,8.593,21.138,16,6.097,0.978,0.716,1.75
"SYN00010",2026-02-15,11.439,1.619,15.982,26.942,7.81,19.132,15,6.23,1.701,1.159,1.105
"SYN00010",2026-02-22,10.715,0.701,14.892,28.584,11.683,16.901,12,8.02,0.975,1.713,1.317
"SYN00010",2026-03-01,10.722,1.204,16.514,28.075,10.594,17.481,12,5.313,0.475,2.209,1.263
"SYN00010",2026-03-08,8.53,1.769,14.601,29.701,15.298,14.403,18,4.95,0.979,1.797,1.336
"SYN00010",2026-03-15,10.905,0.855,16.46,28.24,12.233,16.007,18,5.687,1.626,1.681,1.429
